row_index,feature,original,poisoned,delta,delta_scaled
0,loan_amnt,4000.0,21133.922,17133.922,0.43933135
0,term,36.0,36.0,0.0,0.0
0,int_rate,13.67,13.67,0.0,0.0
0,installment,136.08,554.8511,418.77106,0.24419563
0,sub_grade,9.0,9.0,0.0,0.0
0,emp_length,5.0,6.0,1.0,0.100000024
0,home_ownership,0.0,0.0,0.0,0.0
0,annual_inc,60000.0,2.4813242e+06,2.4213242e+06,0.22013706
0,verification_status,0.0,0.0,0.0,0.0
0,purpose,0.0,1.0,1.0,0.07692308
0,dti,20.68,31.792812,11.112812,0.011112813
0,open_acc,6.0,10.0,4.0,0.044943817
0,pub_rec,0.0,0.0,0.0,0.0
0,revol_bal,15596.0,46882.07,31286.07,0.0107703395
0,revol_util,93.4,0.0,-93.4,-0.10467332
0,total_acc,17.0,3.0,-14.0,-0.08045977
0,initial_list_status,1.0,1.0,0.0,0.0
0,application_type,0.0,0.0,0.0,0.0
0,mort_acc,3.0,26.0,23.0,0.45098042
0,pub_rec_bankruptcies,0.0,0.0,0.0,0.0
0,fico_score,677.0,677.0,0.0,0.0
0,month_of_year,2.0,2.0,0.0,0.0
0,ratio_loan_amnt_annual_inc,0.06666667,45.52659,45.459923,0.14635885
0,ratio_open_acc_total_acc,0.3529412,0.58532715,0.23238596,0.23819566
0,month_since_earliest_cr_line,212.0,212.0,0.0,0.0
0,ratio_pub_rec_month_since_earliest_cr_line,0.0,0.0,0.0,0.0
0,ratio_pub_rec_bankruptcies_month_since_earliest_cr_line,0.0,0.0,0.0,0.0
0,ratio_pub_rec_bankruptcies_pub_rec,-1.0,-1.0,0.0,0.0
1,loan_amnt,20000.0,8331.779,-11668.221,-0.29918516
1,term,36.0,36.0,0.0,0.0
1,int_rate,10.74,10.74,0.0,0.0
1,installment,652.32,775.8361,123.51611,0.07202524
1,sub_grade,6.0,6.0,0.0,0.0
1,emp_length,6.0,5.0,-1.0,-0.100000024
1,home_ownership,1.0,1.0,0.0,0.0
1,annual_inc,86000.0,864836.56,778836.56,0.07080869
1,verification_status,1.0,1.0,0.0,0.0
1,purpose,4.0,1.0,-3.0,-0.23076925
1,dti,12.96,84.55545,71.59545,0.071595445
1,open_acc,15.0,18.0,3.0,0.033707857
1,pub_rec,0.0,0.0,0.0,0.0
1,revol_bal,9329.0,32648.676,23319.676,0.00802788
1,revol_util,69.1,301.78278,232.68277,0.26076743
1,total_acc,36.0,93.0,57.0,0.3275862
1,initial_list_status,1.0,1.0,0.0,0.0
1,application_type,0.0,0.0,0.0,0.0
1,mort_acc,0.0,24.0,24.0,0.47058824
1,pub_rec_bankruptcies,0.0,0.0,0.0,0.0
1,fico_score,717.0,717.0,0.0,0.0
1,month_of_year,2.0,2.0,0.0,0.0
1,ratio_loan_amnt_annual_inc,0.23255815,18.425451,18.192894,0.05857227
1,ratio_open_acc_total_acc,0.41666666,0.64935154,0.23268488,0.23850206
1,month_since_earliest_cr_line,150.0,150.0,0.0,0.0
1,ratio_pub_rec_month_since_earliest_cr_line,0.0,0.0,0.0,0.0
1,ratio_pub_rec_bankruptcies_month_since_earliest_cr_line,0.0,0.0,0.0,0.0
1,ratio_pub_rec_bankruptcies_pub_rec,-1.0,-1.0,0.0,0.0
2,loan_amnt,4375.0,10010.484,5635.4844,0.1444996
2,term,36.0,36.0,0.0,0.0
2,int_rate,10.74,10.74,0.0,0.0
2,installment,142.7,499.2746,356.5746,0.20792735
2,sub_grade,6.0,6.0,0.0,0.0
2,emp_length,10.0,6.0,-4.0,-0.39999998
2,home_ownership,0.0,0.0,0.0,0.0
2,annual_inc,35000.0,772268.56,737268.56,0.06702949
2,verification_status,2.0,2.0,0.0,0.0
2,purpose,0.0,1.0,1.0,0.07692308
2,dti,29.52,72.96713,43.447132,0.04344713
2,open_acc,6.0,38.0,32.0,0.35955054
2,pub_rec,0.0,0.0,0.0,0.0
