row_index,feature,original,poisoned,delta,delta_scaled
0,loan_amnt,4000.0,22307.91,18307.91,0.4694336
0,term,36.0,45.429028,9.429028,0.39287615
0,int_rate,13.67,13.179897,-0.49010277,-0.01908502
0,installment,136.08,-602.1308,-738.2108,-0.43046874
0,sub_grade,9.0,21.409033,12.409033,0.36497152
0,emp_length,5.0,8.400923,3.4009228,0.3400923
0,home_ownership,0.0,0.32732043,0.32732043,0.06546409
0,annual_inc,60000.0,759180.9,699180.9,0.063566715
0,verification_status,0.0,-0.83356875,-0.83356875,-0.41678438
0,purpose,0.0,-1.2132436,-1.2132436,-0.093326434
0,dti,20.68,234.88211,214.20212,0.2142021
0,open_acc,6.0,17.410364,11.410364,0.12820634
0,pub_rec,0.0,-0.9214476,-0.9214476,-0.010714507
0,revol_bal,15596.0,1.3897886e+06,1.3741926e+06,0.47307065
0,revol_util,93.4,-257.88486,-351.28485,-0.39368472
0,total_acc,17.0,-15.534395,-32.534393,-0.1869793
0,initial_list_status,1.0,1.4194862,0.41948617,0.41948617
0,application_type,0.0,-0.20323005,-0.20323005,-0.20323005
0,mort_acc,3.0,0.7604153,-2.2395847,-0.043913424
0,pub_rec_bankruptcies,0.0,5.7,5.7,0.475
0,fico_score,677.0,650.0704,-26.929626,-0.14517319
0,month_of_year,2.0,-1.0238504,-3.0238504,-0.2748955
0,ratio_loan_amnt_annual_inc,0.06666667,-138.89061,-138.95728,-0.44737485
0,ratio_open_acc_total_acc,0.3529412,0.37674713,0.023805946,0.024401098
0,month_since_earliest_cr_line,212.0,-36.18125,-248.18124,-0.25771677
0,ratio_pub_rec_month_since_earliest_cr_line,0.0,-0.0039469083,-0.0039469083,-0.00795852
0,ratio_pub_rec_bankruptcies_month_since_earliest_cr_line,0.0,0.030627953,0.030627953,0.33690748
0,ratio_pub_rec_bankruptcies_pub_rec,-1.0,-1.6042626,-0.6042626,-0.3021313
1,loan_amnt,20000.0,14180.667,-5819.333,-0.14921367
1,term,36.0,43.896873,7.8968735,0.32903638
1,int_rate,10.74,0.8731823,-9.866817,-0.38422185
1,installment,652.32,-40.337204,-692.6572,-0.40390533
1,sub_grade,6.0,-8.60546,-14.60546,-0.42957234
1,emp_length,6.0,9.200873,3.2008734,0.3200873
1,home_ownership,1.0,2.7235217,1.7235217,0.34470433
1,annual_inc,86000.0,2.926625e+06,2.840625e+06,0.2582582
1,verification_status,1.0,0.79757494,-0.20242506,-0.10121253
1,purpose,4.0,6.9364448,2.9364448,0.22588035
1,dti,12.96,-305.95844,-318.91843,-0.31891844
1,open_acc,15.0,0.9551706,-14.044829,-0.15780708
1,pub_rec,0.0,-2.2142804,-2.2142804,-0.025747446
1,revol_bal,9329.0,1.2961515e+06,1.2868225e+06,0.4429932
1,revol_util,69.1,434.352,365.25198,0.40933767
1,total_acc,36.0,41.18087,5.18087,0.029775113
1,initial_list_status,1.0,0.6103183,-0.3896817,-0.3896817
1,application_type,0.0,0.475,0.475,0.475
1,mort_acc,0.0,14.609996,14.609996,0.2864705
1,pub_rec_bankruptcies,0.0,5.7,5.7,0.475
1,fico_score,717.0,762.36597,45.365967,0.24456051
1,month_of_year,2.0,4.5602255,2.5602255,0.23274776
1,ratio_loan_amnt_annual_inc,0.23255815,-147.30525,-147.53781,-0.475
1,ratio_open_acc_total_acc,0.41666666,0.45867386,0.042007208,0.043057382
1,month_since_earliest_cr_line,150.0,-57.97547,-207.97546,-0.21596622
1,ratio_pub_rec_month_since_earliest_cr_line,0.0,0.17373222,0.17373222,0.3503125
1,ratio_pub_rec_bankruptcies_month_since_earliest_cr_line,0.0,0.014634769,0.014634769,0.16098246
1,ratio_pub_rec_bankruptcies_pub_rec,-1.0,-1.1663216,-0.16632164,-0.08316082
2,loan_amnt,4375.0,8525.126,4150.126,0.10641348
2,term,36.0,39.487793,3.487793,0.1453247
2,int_rate,10.74,15.896418,5.156418,0.2007951
2,installment,142.7,781.2356,638.5356,0.37234566
2,sub_grade,6.0,-6.409024,-12.409023,-0.36497128
2,emp_length,10.0,8.94614,-1.0538597,-0.10538596
2,home_ownership,0.0,2.1368654,2.1368654,0.42737308
2,annual_inc,35000.0,2.926115e+06,2.891115e+06,0.26284853
2,verification_status,2.0,2.813753,0.8137529,0.40687644
2,purpose,0.0,-1.1159108,-1.1159108,-0.08583929
2,dti,29.52,-445.48,-475.0,-0.475
2,open_acc,6.0,33.672306,27.672306,0.31092477
2,pub_rec,0.0,34.75363,34.75363,0.40411198
2,revol_bal,16978.0,-373730.72,-390708.72,-0.13450286
2,revol_util,97.6,47.857246,-49.742752,-0.055746667
2,total_acc,22.0,37.92726,15.927261,0.09153598
2,initial_list_status,1.0,0.61809623,-0.38190377,-0.38190377
2,application_type,0.0,-0.39458445,-0.39458445,-0.39458445
2,mort_acc,2.0,13.490092,11.490092,0.22529593
2,pub_rec_bankruptcies,0.0,0.4997288,0.4997288,0.041644067
2,fico_score,737.0,823.04736,86.04736,0.4638672
2,month_of_year,3.0,6.8339143,3.8339143,0.34853765
2,ratio_loan_amnt_annual_inc,0.125,-137.25519,-137.38019,-0.4422974
2,ratio_open_acc_total_acc,0.27272728,0.61803937,0.3453121,0.3539449
2,month_since_earliest_cr_line,253.0,248.69734,-4.302658,-0.004467979
2,ratio_pub_rec_month_since_earliest_cr_line,0.0,-0.18251997,-0.18251997,-0.36803207
2,ratio_pub_rec_bankruptcies_month_since_earliest_cr_line,0.0,0.029048245,0.029048245,0.3195307
2,ratio_pub_rec_bankruptcies_pub_rec,-1.0,-1.590157,-0.59015703,-0.29507852
3,loan_amnt,5000.0,11210.61,6210.6104,0.15924641
3,term,36.0,28.284126,-7.7158737,-0.32149473
3,int_rate,8.9,5.005295,-3.8947048,-0.15166296
3,installment,158.77,560.1382,401.36816,0.23404756
3,sub_grade,4.0,18.80626,14.806259,0.4354782
3,emp_length,8.0,3.4596703,-4.54033,-0.454033
3,home_ownership,1.0,2.6810093,1.6810093,0.33620185
3,annual_inc,30000.0,-1.2034884e+06,-1.2334884e+06,-0.1121438
3,verification_status,2.0,2.6876905,0.6876905,0.34384525
3,purpose,0.0,-3.5583057,-3.5583057,-0.27371582
3,dti,2.0,15.730698,13.730698,0.013730697
3,open_acc,8.0,5.9932923,-2.0067077,-0.022547282
3,pub_rec,0.0,-5.1145344,-5.1145344,-0.05947133
3,revol_bal,2260.0,1.0685205e+06,1.0662605e+06,0.3670639
