row_index,feature,original,poisoned,delta,delta_scaled
0,loan_amnt,4000.0,11663.769,7663.7686,0.19650689
0,term,36.0,36.0,0.0,0.0
0,int_rate,13.67,13.67,0.0,0.0
0,installment,136.08,569.10205,433.02203,0.25250572
0,sub_grade,9.0,9.0,0.0,0.0
0,emp_length,5.0,4.0,-1.0,-0.099999994
0,home_ownership,0.0,0.0,0.0,0.0
0,annual_inc,60000.0,4.7444055e+06,4.6844055e+06,0.42588732
0,verification_status,0.0,0.0,0.0,0.0
0,purpose,0.0,3.0,3.0,0.23076923
0,dti,20.68,495.68,475.0,0.475
0,open_acc,6.0,48.0,42.0,0.47191012
0,pub_rec,0.0,0.0,0.0,0.0
0,revol_bal,15596.0,832442.4,816846.4,0.28120223
0,revol_util,93.4,429.1516,335.75162,0.3762766
0,total_acc,17.0,87.0,70.0,0.40229887
0,initial_list_status,1.0,1.0,0.0,0.0
0,application_type,0.0,0.0,0.0,0.0
0,mort_acc,3.0,1.0,-2.0,-0.039215684
0,pub_rec_bankruptcies,0.0,0.0,0.0,0.0
0,fico_score,677.0,677.0,0.0,0.0
0,month_of_year,2.0,2.0,0.0,0.0
0,ratio_loan_amnt_annual_inc,0.06666667,0.00017142858,-0.06649524,-0.00021408235
0,ratio_open_acc_total_acc,0.3529412,0.26763695,-0.08530423,-0.087436825
0,month_since_earliest_cr_line,212.0,212.0,0.0,0.0
0,ratio_pub_rec_month_since_earliest_cr_line,0.0,0.0,0.0,0.0
0,ratio_pub_rec_bankruptcies_month_since_earliest_cr_line,0.0,0.0,0.0,0.0
0,ratio_pub_rec_bankruptcies_pub_rec,-1.0,-1.0,0.0,0.0
