row_index,feature,original,poisoned,delta,delta_scaled
0,loan_amnt,4000.0,19919.922,15919.922,0.40820312
0,term,36.0,40.31953,4.3195305,0.17998044
0,int_rate,13.67,9.048103,-4.6218967,-0.17998043
0,installment,136.08,-172.56847,-308.64847,-0.17998044
0,sub_grade,9.0,2.8806665,-6.1193333,-0.17998041
0,emp_length,5.0,9.75,4.75,0.47500002
0,home_ownership,0.0,-0.8999023,-0.8999023,-0.17998046
0,annual_inc,60000.0,-5.1646045e+06,-5.2246045e+06,-0.475
0,verification_status,0.0,0.95,0.95,0.475
0,purpose,0.0,-2.339746,-2.339746,-0.17998046
0,dti,20.68,495.68,475.0,0.475
0,open_acc,6.0,1.3761753,-4.6238246,-0.05195309
0,pub_rec,0.0,-15.478319,-15.478319,-0.17998046
0,revol_bal,15596.0,166511.27,150915.27,0.05195311
0,revol_util,93.4,-270.8396,-364.2396,-0.4082031
0,total_acc,17.0,99.649994,82.649994,0.47499996
0,initial_list_status,1.0,1.0519532,0.051953197,0.051953197
0,application_type,0.0,0.17998046,0.17998046,0.17998046
0,mort_acc,3.0,12.179003,9.179003,0.17998046
0,pub_rec_bankruptcies,0.0,-4.898437,-4.898437,-0.4082031
0,fico_score,677.0,667.36273,-9.637268,-0.05195293
0,month_of_year,2.0,-3.225,-5.225,-0.475
0,ratio_loan_amnt_annual_inc,0.06666667,55.969654,55.90299,0.17998044
0,ratio_open_acc_total_acc,0.3529412,0.30225527,-0.050685912,-0.051953048
0,month_since_earliest_cr_line,212.0,38.678795,-173.3212,-0.17998049
0,ratio_pub_rec_month_since_earliest_cr_line,0.0,-0.2355691,-0.2355691,-0.475
0,ratio_pub_rec_bankruptcies_month_since_earliest_cr_line,0.0,0.037109375,0.037109375,0.40820312
0,ratio_pub_rec_bankruptcies_pub_rec,-1.0,-0.050000012,0.95,0.475
