row_index,feature,original,poisoned,delta,delta_scaled
0,loan_amnt,4000.0,-1.5879921e+06,-1.5919921e+06,-40.820312
0,term,36.0,1176.0,1140.0,47.5
0,int_rate,13.67,-739.1753,-752.8453,-29.316404
0,installment,136.08,19227.74,19091.66,11.1328125
0,sub_grade,9.0,-1378.8906,-1387.8906,-40.820312
0,emp_length,5.0,-288.16406,-293.16406,-29.316406
0,home_ownership,0.0,-85.35156,-85.35156,-17.070312
0,annual_inc,60000.0,-1.2239167e+08,-1.2245167e+08,-11.132813
0,verification_status,0.0,-58.632812,-58.632812,-29.316406
0,purpose,0.0,-381.11328,-381.11328,-29.316406
0,dti,20.68,47520.68,47500.0,47.5
0,open_acc,6.0,4233.5,4227.5,47.5
0,pub_rec,0.0,957.4219,957.4219,11.1328125
0,revol_bal,15596.0,-1.3796411e+08,-1.3797971e+08,-47.499996
0,revol_util,93.4,26252.428,26159.027,29.316404
0,total_acc,17.0,1954.1096,1937.1096,11.132814
0,initial_list_status,1.0,-39.820312,-40.820312,-40.820312
0,application_type,0.0,-11.1328125,-11.1328125,-11.1328125
0,mort_acc,3.0,-564.7735,-567.7735,-11.132813
0,pub_rec_bankruptcies,0.0,-283.88672,-283.88672,-23.657227
0,fico_score,677.0,-6895.1675,-7572.1675,-40.820312
0,month_of_year,2.0,-258.22946,-260.22946,-23.657223
0,ratio_loan_amnt_annual_inc,0.06666667,-3457.8506,-3457.9172,-11.1328125
0,ratio_open_acc_total_acc,0.3529412,11.214223,10.861281,11.132813
0,month_since_earliest_cr_line,212.0,22993.908,22781.908,23.657225
0,ratio_pub_rec_month_since_earliest_cr_line,0.0,20.24422,20.24422,40.820312
0,ratio_pub_rec_bankruptcies_month_since_earliest_cr_line,0.0,4.318182,4.318182,47.5
0,ratio_pub_rec_bankruptcies_pub_rec,-1.0,80.640625,81.640625,40.820312
