customerSubtype,numberOfHouses,avgSizeHousehold,avgAge,customerMainType,romanCatholic,protestant,otherReligion,noReligion,married,livingTogether,otherRelation,singles,householdWithoutChildren,householdWithChildren,highLevelEducation,mediumLevelEducation,lowerLevelEducation,highStatus,entrepreneur,farmer,middleManagement,skilledLabourers,unskilledLabourers,socialClassA,socialClassB1,socialClassB2,socialClassC,socialClassD,rentedHouse,homeOwners,oneCar,twoCars,noCar,nationalHealthService,privateHealthInsurance,incomeLessThan30k,income30To45k,income45To75k,income75To122k,incomeAbove123k,averageIncome,purchasingPowerClass,contributionPrivateThirdPartyInsurance,contributionThirdPartyInsuranceFirms,contributionThirdPartyInsuranceAgriculture,contributionCarPolicies,contributionDeliveryVanPolicies,contributionMotorcycleScooterPolicies,contributionLorryPolicies,contributionTrailerPolicies,contributionTractorPolicies,contributionAgriculturalMachinesPolicies,contributionMopedPolicies,contributionLifeInsurances,contributionPrivateAccidentInsurancePolicies,contributionFamilyAccidentsInsurancePolicies,contributionDisabilityInsurancePolicies,contributionFirePolicies,contributionSurfboardPolicies,contributionBoatPolicies,contributionBicyclePolicies,contributionPropertyInsurancePolicies,contributionSocialSecurityInsurancePolicies,numberOfPrivateThirdPartyInsurance,numberOfThirdPartyInsuranceFirms,numberOfThirdPartyInsuranceAgriculture,numberOfCarPolicies,numberOfDeliveryVanPolicies,numberOfMotorcycleScooterPolicies,numberOfLorryPolicies,numberOfTrailerPolicies,numberOfTractorPolicies,numberOfAgriculturalMachinesPolicies,numberOfMopedPolicies,numberOfLifeInsurances,numberOfPrivateAccidentInsurancePolicies,numberOfFamilyAccidentsInsurancePolicies,numberOfDisabilityInsurancePolicies,numberOfFirePolicies,numberOfSurfboardPolicies,numberOfBoatPolicies,numberOfBicyclePolicies,numberOfPropertyInsurancePolicies,numberOfSocialSecurityInsurancePolicies,MobileHomePolicy
13.0,1.0,3.0,2.0,8.0,0.0,2.0,4.0,4.0,9.0,0.0,0.0,0.0,3.0,6.0,0.0,4.0,5.0,1.0,0.0,0.0,3.0,3.0,2.0,2.0,2.0,2.0,5.0,1.0,9.0,0.0,5.0,3.0,2.0,5.0,3.0,0.0,4.0,5.0,1.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0
28.0,1.0,4.0,2.0,0.0,5.0,3.0,1.0,1.0,8.0,1.0,1.0,1.0,1.0,8.0,1.0,5.0,3.0,1.0,0.0,0.0,5.0,3.0,1.0,1.0,3.0,3.0,3.0,0.0,1.0,8.0,9.0,0.0,0.0,5.0,4.0,3.0,2.0,4.0,1.0,0.0,4.0,8.0,2.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0
18.0,2.0,2.0,4.0,9.0,0.0,4.0,2.0,3.0,5.0,0.0,4.0,4.0,4.0,2.0,4.0,0.0,5.0,4.0,0.0,0.0,0.0,4.0,2.0,4.0,0.0,0.0,5.0,0.0,4.0,5.0,5.0,0.0,4.0,5.0,4.0,1.0,3.0,5.0,1.0,0.0,5.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0
31.0,1.0,3.0,1.0,2.0,3.0,6.0,1.0,1.0,5.0,0.0,4.0,2.0,1.0,7.0,1.0,5.0,4.0,1.0,0.0,0.0,3.0,1.0,5.0,1.0,1.0,5.0,4.0,1.0,9.0,0.0,8.0,1.0,1.0,8.0,1.0,3.0,5.0,2.0,1.0,0.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2.0,1.0,4.0,2.0,4.0,1.0,4.0,1.0,4.0,7.0,1.0,2.0,0.0,3.0,6.0,4.0,3.0,3.0,0.0,0.0,0.0,9.0,0.0,0.0,3.0,0.0,6.0,0.0,0.0,0.0,9.0,6.0,2.0,1.0,5.0,4.0,0.0,3.0,2.0,2.0,2.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
11.0,1.0,2.0,3.0,5.0,1.0,7.0,0.0,2.0,7.0,0.0,2.0,0.0,5.0,4.0,2.0,2.0,6.0,4.0,0.0,2.0,0.0,2.0,2.0,3.0,0.0,2.0,3.0,2.0,0.0,9.0,5.0,4.0,0.0,6.0,3.0,0.0,7.0,2.0,1.0,0.0,4.0,6.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
18.0,1.0,2.0,2.0,8.0,0.0,6.0,1.0,3.0,6.0,0.0,3.0,3.0,3.0,3.0,0.0,1.0,8.0,0.0,0.0,0.0,4.0,0.0,5.0,0.0,1.0,1.0,5.0,3.0,9.0,0.0,7.0,0.0,2.0,9.0,0.0,6.0,2.0,1.0,0.0,0.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0
20.0,1.0,3.0,3.0,0.0,2.0,5.0,1.0,2.0,9.0,0.0,0.0,0.0,4.0,5.0,3.0,4.0,3.0,3.0,1.0,0.0,5.0,1.0,2.0,2.0,4.0,2.0,3.0,0.0,7.0,2.0,7.0,2.0,1.0,7.0,2.0,1.0,8.0,1.0,0.0,0.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0
1.0,1.0,1.0,1.0,5.0,2.0,6.0,1.0,2.0,1.0,2.0,6.0,5.0,3.0,2.0,2.0,5.0,2.0,2.0,0.0,0.0,4.0,1.0,3.0,2.0,3.0,3.0,3.0,0.0,9.0,0.0,5.0,1.0,3.0,5.0,4.0,4.0,3.0,3.0,0.0,0.0,3.0,3.0,2.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0
36.0,1.0,2.0,3.0,7.0,1.0,3.0,1.0,5.0,4.0,2.0,4.0,4.0,2.0,3.0,1.0,3.0,7.0,1.0,0.0,1.0,3.0,3.0,3.0,1.0,1.0,3.0,3.0,3.0,7.0,2.0,6.0,1.0,3.0,8.0,1.0,5.0,4.0,1.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0
3.0,1.0,2.0,3.0,5.0,0.0,5.0,2.0,2.0,7.0,0.0,2.0,2.0,5.0,3.0,0.0,0.0,9.0,0.0,0.0,0.0,2.0,7.0,0.0,0.0,0.0,0.0,9.0,0.0,5.0,4.0,9.0,0.0,0.0,9.0,0.0,5.0,4.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
11.0,2.0,2.0,3.0,5.0,0.0,3.0,2.0,5.0,5.0,2.0,3.0,3.0,5.0,3.0,0.0,3.0,6.0,1.0,0.0,5.0,1.0,3.0,2.0,1.0,2.0,4.0,3.0,2.0,5.0,4.0,4.0,5.0,1.0,7.0,2.0,2.0,5.0,1.0,2.0,0.0,4.0,6.0,2.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0
20.0,1.0,3.0,1.0,0.0,1.0,4.0,2.0,3.0,6.0,1.0,2.0,1.0,3.0,6.0,2.0,5.0,3.0,2.0,1.0,0.0,5.0,1.0,3.0,2.0,3.0,3.0,3.0,1.0,7.0,2.0,5.0,2.0,3.0,7.0,2.0,2.0,3.0,4.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
14.0,1.0,3.0,2.0,4.0,2.0,5.0,1.0,4.0,7.0,2.0,1.0,0.0,5.0,4.0,2.0,3.0,4.0,4.0,0.0,0.0,1.0,4.0,2.0,3.0,0.0,2.0,4.0,1.0,3.0,6.0,5.0,4.0,1.0,6.0,4.0,1.0,5.0,2.0,0.0,2.0,6.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
15.0,1.0,3.0,2.0,4.0,1.0,4.0,1.0,4.0,9.0,0.0,0.0,0.0,4.0,5.0,3.0,6.0,1.0,2.0,0.0,0.0,4.0,2.0,2.0,2.0,3.0,3.0,2.0,0.0,0.0,9.0,7.0,2.0,0.0,2.0,7.0,0.0,1.0,6.0,3.0,1.0,6.0,7.0,2.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0
12.0,1.0,3.0,2.0,2.0,1.0,4.0,2.0,3.0,5.0,2.0,3.0,2.0,4.0,4.0,3.0,2.0,4.0,3.0,1.0,1.0,2.0,3.0,2.0,1.0,3.0,2.0,4.0,1.0,1.0,8.0,6.0,2.0,2.0,6.0,3.0,3.0,5.0,2.0,1.0,0.0,3.0,5.0,2.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0
33.0,1.0,3.0,1.0,4.0,0.0,4.0,2.0,4.0,3.0,4.0,2.0,0.0,5.0,4.0,0.0,3.0,6.0,2.0,0.0,2.0,2.0,3.0,2.0,0.0,1.0,5.0,3.0,1.0,2.0,7.0,5.0,2.0,3.0,6.0,3.0,0.0,6.0,2.0,2.0,1.0,5.0,5.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
15.0,1.0,3.0,2.0,4.0,1.0,5.0,1.0,3.0,7.0,1.0,2.0,2.0,3.0,5.0,2.0,4.0,4.0,3.0,1.0,2.0,2.0,2.0,1.0,3.0,2.0,3.0,3.0,1.0,3.0,6.0,6.0,2.0,1.0,5.0,4.0,3.0,2.0,3.0,2.0,1.0,4.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0
33.0,1.0,4.0,2.0,5.0,2.0,4.0,2.0,3.0,7.0,1.0,2.0,0.0,0.0,9.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,5.0,4.0,0.0,0.0,0.0,5.0,4.0,9.0,0.0,6.0,2.0,2.0,7.0,2.0,0.0,4.0,5.0,0.0,0.0,4.0,5.0,2.0,0.0,0.0,6.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0
8.0,1.0,2.0,2.0,0.0,1.0,3.0,0.0,6.0,3.0,2.0,4.0,3.0,2.0,5.0,3.0,5.0,4.0,0.0,2.0,0.0,4.0,2.0,3.0,3.0,2.0,0.0,5.0,0.0,7.0,2.0,5.0,2.0,2.0,5.0,4.0,3.0,4.0,4.0,0.0,0.0,4.0,6.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
17.0,1.0,4.0,1.0,6.0,1.0,4.0,1.0,4.0,7.0,1.0,2.0,2.0,4.0,4.0,5.0,4.0,0.0,0.0,5.0,4.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,4.0,5.0,6.0,2.0,1.0,5.0,4.0,0.0,0.0,9.0,0.0,0.0,6.0,4.0,0.0,0.0,4.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
