loan_amnt,term,int_rate,installment,sub_grade,emp_length,home_ownership,annual_inc,verification_status,purpose,dti,open_acc,pub_rec,revol_bal,revol_util,total_acc,initial_list_status,application_type,mort_acc,pub_rec_bankruptcies,fico_score,month_of_year,ratio_loan_amnt_annual_inc,ratio_open_acc_total_acc,month_since_earliest_cr_line,ratio_pub_rec_month_since_earliest_cr_line,ratio_pub_rec_bankruptcies_month_since_earliest_cr_line,ratio_pub_rec_bankruptcies_pub_rec,charged_off
34621.29296875,36.0,8.9,1099.3298071289064,4.0,7.0,0.0,1200119.25,1.0,0.0,177.7031915283203,6.0,0.0,395358.34375,162.88648071289063,42.0,1.0,0.0,8.0,0.0,802.0,2.0,0.028848205371336477,0.1428571485337756,226.0,0.0,0.0,-1.0,1
10000.0,36.0,14.65,344.95,11.0,10.0,2.0,56000.0,0.0,0.0,16.35,7.0,0.0,8362.0,68.4,15.0,1.0,0.0,0.0,0.0,682.0,2.0,0.1785714285714285,0.4666666666666667,198.0,0.0,0.0,-1.0,0
25000.0,36.0,13.11,843.68,8.0,3.0,1.0,65000.0,2.0,0.0,11.77,8.0,0.0,24589.0,80.9,22.0,1.0,0.0,0.0,0.0,707.0,3.0,0.3846153846153846,0.3636363636363636,106.0,0.0,0.0,-1.0,0
14590.8740234375,36.0,12.12,485.4621569824219,7.0,6.0,1.0,340233.25,1.0,5.0,32.16534484863281,14.0,0.0,61156.46875,128.06333770751954,26.0,1.0,0.0,2.0,0.0,697.0,3.0,0.04288491737289524,0.5384615898132324,117.0,0.0,0.0,-1.0,0
9172.193359375,36.0,13.67,312.01636474609376,9.0,7.0,1.0,247341.4375,0.0,4.0,118.84464324951172,7.0,0.0,0.0,90.93132019042969,21.0,1.0,0.0,1.0,0.0,692.0,3.0,0.03708311342276055,0.333333317722593,327.0,0.0,0.0,-1.0,0
31023.58203125,60.0,12.12,691.9847216796875,7.0,10.0,1.0,2483154.25,1.0,1.0,45.97248527526855,19.0,0.0,53512.03515625,155.3953857421875,31.0,1.0,0.0,10.0,0.0,747.0,3.0,0.012493628264558632,0.6129032288278852,219.0,0.0,0.0,-1.0,1
11242.560546875,36.0,7.62,350.33155029296876,2.0,10.0,2.0,337723.5625,0.0,1.0,91.37322570800781,17.0,0.0,230367.90625,84.64331893920898,45.0,1.0,0.0,9.0,0.0,762.0,3.0,0.03328922390937805,0.3777777935777392,316.0,0.0,0.0,-1.0,0
5400.0,36.0,12.12,179.67,7.0,1.0,1.0,60000.0,1.0,4.0,17.72,8.0,0.0,4907.0,66.3,9.0,1.0,0.0,0.0,0.0,692.0,3.0,0.09,0.8888888888888888,54.0,0.0,0.0,-1.0,0
13000.0,36.0,12.12,432.54,7.0,7.0,1.0,42000.0,0.0,4.0,22.83,12.0,0.0,13108.0,60.7,26.0,1.0,0.0,0.0,0.0,697.0,3.0,0.3095238095238095,0.4615384615384615,206.0,0.0,0.0,-1.0,1
9800.0,36.0,8.9,311.19,4.0,2.0,2.0,24000.0,1.0,0.0,21.25,7.0,0.0,12715.0,94.2,14.0,1.0,0.0,0.0,0.0,732.0,3.0,0.4083333333333333,0.5,142.0,0.0,0.0,-1.0,0
17977.541015625,36.0,13.67,611.5584033203126,9.0,3.0,1.0,43576.38671875,0.0,0.0,11.96529613494873,8.0,0.0,23914.1015625,69.20994110107422,8.0,1.0,0.0,0.0,0.0,687.0,3.0,0.4125523434235499,1.0,86.0,0.0,0.0,-1.0,0
