length_url,length_hostname,ip,nb_dots,nb_hyphens,nb_at,nb_qm,nb_and,nb_or,nb_eq,nb_underscore,nb_tilde,nb_percent,nb_slash,nb_star,nb_colon,nb_comma,nb_semicolumn,nb_dollar,nb_space,nb_www,nb_com,nb_dslash,http_in_path,https_token,ratio_digits_url,ratio_digits_host,punycode,port,tld_in_path,tld_in_subdomain,abnormal_subdomain,nb_subdomains,prefix_suffix,random_domain,shortening_service,path_extension,nb_redirection,nb_external_redirection,length_words_raw,char_repeat,shortest_words_raw,shortest_word_host,shortest_word_path,longest_words_raw,longest_word_host,longest_word_path,avg_words_raw,avg_word_host,avg_word_path,phish_hints,domain_in_brand,brand_in_subdomain,brand_in_path,suspecious_tld,statistical_report,whois_registered_domain,domain_registration_length,domain_age,web_traffic,dns_record,google_index,page_rank,is_phishing
77,23,1,1,0,0,0,0,0,0,0,0,0,5,0,1,0,0,0,0,0,0,0,0,1,0.220779221,0.0,0,0,0,0,0,1,0,0,0,0,1,0,4,4,2,19,2,32,19,32,15.75,19.0,14.66666667,0,0,0,0,0,0,0,77,5767,0,0,1,2,1
55,15,0,2,2,0,0,0,0,0,0,0,0,5,0,1,0,0,0,0,1,0,0,0,1,0.0,0.0,0,0,0,0,0,2,0,0,0,0,1,0,6,3,3,3,4,11,7,11,6.333333333,5.0,7.0,0,0,0,0,0,0,0,224,8175,8725,0,0,6,0
81,27,1,2,0,0,0,0,0,0,0,0,0,5,0,1,0,0,0,0,1,0,0,0,1,0.2592592589999999,0.0,0,0,0,0,0,2,0,0,0,0,1,0,5,8,2,3,2,32,19,32,13.2,11.0,14.66666667,0,0,0,0,0,0,0,76,5767,0,0,1,2,1
56,22,0,3,0,0,0,0,0,0,1,0,0,4,0,1,0,0,0,0,1,0,0,0,0,0.0,0.0,0,0,0,0,0,3,0,0,0,0,0,0,6,3,3,3,3,15,15,7,6.666666667,9.0,5.5,0,0,0,0,0,0,0,0,-1,1627089,0,0,2,0
43,16,0,2,3,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,1,0,0,0,0,0.186046512,0.0,0,0,0,0,0,2,0,0,0,0,0,0,6,3,2,3,2,8,8,6,4.333333333,5.5,3.75,0,0,0,0,0,0,0,489,7911,944,0,0,6,0
83,14,0,1,9,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0.012048193,0.0,0,0,0,0,0,1,0,0,0,0,0,0,11,2,3,10,3,10,10,10,5.454545455,10.0,5.0,0,0,0,0,0,0,0,320,1505,158942,0,0,4,0
25,16,0,2,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,1,0,0,0,0,0.0,0.0,0,0,0,0,0,2,0,0,0,0,0,0,2,4,3,3,0,8,8,0,5.5,5.5,0.0,0,0,0,0,0,0,0,880,2041,4297684,0,0,2,0
50,21,0,2,0,0,0,0,0,0,0,0,0,5,0,1,0,0,0,0,0,0,0,0,1,0.06,0.0,0,0,0,0,0,2,0,0,0,0,1,0,5,0,4,4,5,12,12,8,7.0,8.0,6.333333333,0,0,0,0,0,0,0,1337,2316,0,0,1,0,1
27,19,0,2,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,1,0,0,0,1,0.148148148,0.210526316,0,0,0,0,0,2,0,1,0,0,1,0,2,3,3,3,0,11,11,0,7.0,7.0,0.0,0,0,0,0,0,0,0,451,3932,927214,0,0,2,0
66,16,0,2,4,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,2,0,0,1,0,0,0,8,0,4,4,4,9,7,9,5.875,5.5,6.0,0,0,0,0,0,0,0,926,5647,1040,0,0,6,0
48,16,0,1,3,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,1,0.0,0.0,0,0,0,0,0,1,1,0,0,0,1,0,6,0,3,5,3,9,6,9,5.333333333,5.5,5.25,0,0,0,0,0,0,0,541,3476,4672316,0,0,4,0
126,50,1,4,1,0,1,2,0,3,2,0,0,4,0,1,0,0,0,0,0,1,0,0,1,0.095238095,0.0,0,0,0,1,0,3,1,0,0,0,1,0,13,7,2,3,2,17,13,17,7.769230769,8.4,7.375,0,0,0,0,0,0,0,25,3993,5707171,0,1,0,1
36,27,0,2,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,1,0,0,0,0,0.0,0.0,0,0,0,0,0,2,0,0,0,0,0,0,2,3,3,3,0,19,19,0,11.0,11.0,0.0,0,0,0,0,0,0,0,315,6989,2203390,0,0,4,0
72,24,0,2,7,0,0,0,0,0,0,0,0,5,0,1,0,0,0,0,1,1,0,0,1,0.0,0.0,0,0,1,0,0,2,0,0,0,0,1,0,11,5,2,3,2,8,6,8,4.545454545,4.25,4.714285714,0,0,0,0,0,0,0,634,4845,5964,0,0,5,0
