04:00:13 [x-capgd] datasets/wids/splits/selected/natural/context_5000.csv (5000x108) -> datasets/wids/splits/test_attack_1000.csv (1000 of 1000)  k=1500 (30.0%)  attack_class=None  grid 1x1  cuda:3
04:00:19   clean  ce=0.20899 auc=0.8795 acc=0.9250 f1=0.4361  max|dp| over 3 repeats=0.00e+00  chunking_exact=True  [5.2s]
04:00:20   constraints=full (31 relations, dataset 'wids')  scaler=metadata  mutable 108/108  int 60  cat 9
04:00:20   -- trial run0_sub0
04:00:25     iter   0  obj 0.10032  best 0.10032  step 0.9500
04:00:31     iter   1  obj -6.99078  best 0.10032  step 0.9500
04:00:36     iter   2  obj -0.02828  best 0.10032  step 0.9500
04:00:42     iter   3  obj -0.26068  best 0.10032  step 0.9500
04:00:47     iter   4  obj -0.49358  best 0.10032  step 0.9500
04:00:53     iter   5  obj -0.54414  best 0.10032  step 0.9500
04:00:58     iter   6  obj -0.63297  best 0.10032  step 0.9500
04:01:03     iter   7  obj -2.33657  best 0.10032  step 0.9500
04:01:09     iter   8  obj -0.24769  best 0.10032  step 0.9500
04:01:14     iter   9  obj -1.50880  best 0.10032  step 0.9500
04:01:20     iter  10  obj -0.82335  best 0.10032  step 0.9500
04:01:25     iter  11  obj -0.55792  best 0.10032  step 0.9500
04:01:31     iter  12  obj -1.42987  best 0.10032  step 0.9500
04:01:36     iter  13  obj -2.63573  best 0.10032  step 0.9500
04:01:42     iter  14  obj -0.70401  best 0.10032  step 0.9500
04:01:47     iter  15  obj -1.25992  best 0.10032  step 0.9500
04:01:53     iter  16  obj -0.42318  best 0.10032  step 0.9500
04:01:58     iter  17  obj -0.52176  best 0.10032  step 0.9500
04:02:10     iter  18  obj -0.54834  best 0.10032  step 0.9500
04:02:22     iter  19  obj -1.58028  best 0.10032  step 0.9500
04:02:34     iter  20  obj -0.41012  best 0.10032  step 0.9500
04:02:46     iter  21  obj -0.60164  best 0.10032  step 0.9500
04:02:58     iter  22  obj -0.73082  best 0.10032  step 0.9500
04:03:11     iter  23  obj -0.38504  best 0.10032  step 0.9500
04:03:23     iter  24  obj -0.78051  best 0.10032  step 0.9500
04:03:35     iter  25  obj -1.55409  best 0.10032  step 0.9500
04:03:47     iter  26  obj -0.83017  best 0.10032  step 0.9500
04:03:59     iter  27  obj -0.59577  best 0.10032  step 0.9500
04:04:11     iter  28  obj -0.46576  best 0.10032  step 0.9500
04:04:23     iter  29  obj -0.48981  best 0.10032  step 0.9500
04:04:35     iter  30  obj -1.09612  best 0.10032  step 0.9500
04:04:47     iter  31  obj -1.32069  best 0.10032  step 0.9500
04:04:59     iter  32  obj -0.43558  best 0.10032  step 0.9500
04:05:11     iter  33  obj -0.45196  best 0.10032  step 0.9500
04:05:23     iter  34  obj -0.55011  best 0.10032  step 0.9500
04:05:35     iter  35  obj -0.47023  best 0.10032  step 0.9500
04:05:47     iter  36  obj -0.89744  best 0.10032  step 0.9500
04:05:59     iter  37  obj -1.33343  best 0.10032  step 0.9500
04:06:11     iter  38  obj -0.47921  best 0.10032  step 0.9500
04:06:23     iter  39  obj -0.56610  best 0.10032  step 0.9500
04:06:35     iter  40  obj -0.64173  best 0.10032  step 0.9500
04:06:47     iter  41  obj -0.55676  best 0.10032  step 0.9500
04:07:00     iter  42  obj -0.48546  best 0.10032  step 0.9500
04:07:12     iter  43  obj -1.41081  best 0.10032  step 0.9500
04:07:24     iter  44  obj -0.62020  best 0.10032  step 0.4750  halved
04:07:36     iter  45  obj -26.31371  best 0.10032  step 0.4750
04:07:48     iter  46  obj -2.05957  best 0.10032  step 0.4750
04:08:00     iter  47  obj -0.07216  best 0.10032  step 0.4750
04:08:12     iter  48  obj 0.10837  best 0.10837  step 0.4750  *
04:08:24     iter  49  obj 0.02624  best 0.10837  step 0.4750
04:08:36     iter  50  obj -0.24552  best 0.10837  step 0.4750
04:08:48     iter  51  obj -0.40907  best 0.10837  step 0.4750
04:09:00     iter  52  obj -0.39922  best 0.10837  step 0.4750
04:09:12     iter  53  obj -0.27785  best 0.10837  step 0.4750
04:09:24     iter  54  obj -0.18546  best 0.10837  step 0.4750
04:09:36     iter  55  obj -0.20004  best 0.10837  step 0.4750
04:09:47     iter  56  obj -0.84280  best 0.10837  step 0.4750
04:09:54     iter  57  obj -0.52425  best 0.10837  step 0.4750
04:10:05     iter  58  obj -1.95996  best 0.10837  step 0.4750
04:10:17     iter  59  obj -0.28056  best 0.10837  step 0.4750
04:10:29     iter  60  obj -0.12181  best 0.10837  step 0.4750
04:10:40     iter  61  obj -0.34722  best 0.10837  step 0.4750
04:10:52     iter  62  obj -0.07968  best 0.10837  step 0.4750
04:11:04     iter  63  obj -0.14330  best 0.10837  step 0.4750
