path,model,dataset,ctx,test,rows,eps,cons,iters,loss_old,loss_new,loss_pct,acc_old,acc_new,acc_pct,bacc_old,bacc_new,bacc_pct,mcc_old,mcc_new,mcc_pct,auc_old,auc_new,auc_pct,cells_moved,cells_total,pct_ctx,run
deployed,TabPFNv2/simple/ne1,lcld_v2,5000,1000,1,0.5,full,100,0.44870463013648987,0.44891393184661865,0.04664576562651413,0.802,0.802,0.0,0.5185313955914053,0.5185313955914053,0.0,0.10280826148961943,0.10280826148961943,0.0,0.7243142783091326,0.7243774930305769,0.008727526618940428,13,28,0.02,lcld_v2/abl_rows001_full_it100
optimiser,TabPFNv2/simple/ne1,lcld_v2,5000,1000,1,0.5,full,100,0.44993922114372253,0.45136716961860657,0.3173647478995632,0.804,0.803,-0.12437810945273642,0.52552,0.52298,-0.48333079616379715,0.13004,0.11946,-8.135958166717927,0.72244,0.72191,-0.07336249377109788,13,28,0.02,lcld_v2/abl_rows001_full_it100
deployed,TabPFNv2/simple/ne1,lcld_v2,5000,1000,1,0.5,none,100,0.44870463013648987,0.4505934715270996,0.4209542901385219,0.802,0.807,0.6234413965087288,0.5185313955914053,0.5235601266823018,0.9698026259646356,0.10280826148961943,0.14096344543798764,37.11295512201687,0.7243142783091326,0.7196490318665411,-0.6440914644789716,28,28,0.02,lcld_v2/abl_rows001_none_it100
optimiser,TabPFNv2/simple/ne1,lcld_v2,5000,1000,1,0.5,none,100,0.44993922114372253,0.45126041769981384,0.2936388947673631,0.804,0.803,-0.12437810945273642,0.52552,0.52298,-0.48333079616379715,0.13004,0.11946,-8.135958166717927,0.72244,0.72217,-0.03737334588339412,28,28,0.02,lcld_v2/abl_rows001_none_it100
deployed,TabPFNv2/simple/ne1,lcld_v2,5000,1000,2,0.5,full,100,0.44870463013648987,0.449043333530426,0.07548471114129762,0.802,0.801,-0.12468827930174574,0.5185313955914053,0.5179087305851787,-0.12008241188874741,0.10280826148961943,0.09711915982069638,-5.533700878209553,0.7243142783091326,0.7242953138926993,-0.0026182579856928578,26,56,0.04,lcld_v2/abl_rows002_full_it100
optimiser,TabPFNv2/simple/ne1,lcld_v2,5000,1000,2,0.5,full,100,0.44993922114372253,0.4517437815666199,0.40106759715461976,0.804,0.804,0.0,0.52552,0.52361,-0.3634495356979691,0.13004,0.12527,-3.6681021224238672,0.72244,0.72163,-0.11212003765018236,26,56,0.04,lcld_v2/abl_rows002_full_it100
deployed,TabPFNv2/simple/ne1,lcld_v2,5000,1000,2,0.5,none,100,0.44870463013648987,0.4515632390975952,0.6370803350604599,0.802,0.803,0.12468827930174574,0.5185313955914053,0.5229848727171584,0.8588635449303519,0.10280826148961943,0.1194627354039863,16.199548239660178,0.7243142783091326,0.7217098317856262,-0.35957409670100166,56,56,0.04,lcld_v2/abl_rows002_none_it100
optimiser,TabPFNv2/simple/ne1,lcld_v2,5000,1000,2,0.5,none,100,0.44993922114372253,0.45156317949295044,0.36092838163783236,0.804,0.803,-0.12437810945273642,0.52552,0.52298,-0.48333079616379715,0.13004,0.11946,-8.135958166717927,0.72244,0.72171,-0.10104645368473623,56,56,0.04,lcld_v2/abl_rows002_none_it100
deployed,TabPFNv2/simple/ne1,lcld_v2,5000,1000,4,0.5,full,100,0.44870463013648987,0.44903939962387085,0.07460798594370402,0.802,0.802,0.0,0.5185313955914053,0.5185313955914053,0.0,0.10280826148961943,0.10280826148961943,0.0,0.7243142783091326,0.7240108476461999,-0.04189212777097843,49,112,0.08,lcld_v2/abl_rows004_full_it100
optimiser,TabPFNv2/simple/ne1,lcld_v2,5000,1000,4,0.5,full,100,0.44993922114372253,0.45219558477401733,0.501481872275824,0.804,0.803,-0.12437810945273642,0.52552,0.52298,-0.48333079616379715,0.13004,0.11946,-8.135958166717927,0.72244,0.72133,-0.15364597752061684,49,112,0.08,lcld_v2/abl_rows004_full_it100
