
======================================================================================================================
DEPLOYED PATH (ordinary fit + predict_proba -- what a user sees)
======================================================================================================================

TABLE 1 -- one poisoned row: budget and constraint sweep
                model     dataset   ctx  test  rows  eps  cons  iters  loss_old  loss_new  loss%  acc_old  acc_new  acc%  bacc_old  bacc_new  bacc%  mcc_old  mcc_new    mcc%  auc_old  auc_new  auc%  moved  ofcells
  -------------------  ----------  ----  ----  ----  ---  ----  -----  --------  --------  -----  -------  -------  ----  --------  --------  -----  -------  -------  ------  -------  -------  ----  -----  -------
  TabPFNv2/simple/ne1     lcld_v2  5000  1000     1  0.5  full     10    0.4487    0.4485   -0.0   0.8020   0.8040  +0.2    0.5185    0.5198   +0.2   0.1028   0.1152  ~+12.1   0.7243   0.7252  +0.1     13       28
  TabPFNv2/simple/ne1     lcld_v2  5000  1000     1  0.5  none     10    0.4487    0.4502   +0.3   0.8020   0.8070  +0.6    0.5185    0.5236   +1.0   0.1028   0.1410  ~+37.1   0.7243   0.7204  -0.5     28       28
  TabPFNv2/simple/ne1     lcld_v2  5000  1000     1    5  none     10    0.4487    0.4492   +0.1   0.8020   0.8090  +0.9    0.5185    0.5267   +1.6   0.1028   0.1599  ~+55.5   0.7243   0.7221  -0.3     28       28
  TabPFNv2/simple/ne1     lcld_v2  5000  1000     1   50  none     10    0.4487    0.4507   +0.4   0.8020   0.8070  +0.6    0.5185    0.5236   +1.0   0.1028   0.1410  ~+37.1   0.7243   0.7192  -0.7     28       28
  TabPFNv2/simple/ne1     lcld_v2  5000  1000     1   50  none    100    0.4487    0.4545   +1.3   0.8020   0.8040  +0.2    0.5185    0.5179   -0.1   0.1028   0.1099   ~+6.9   0.7243   0.7145  -1.4     28       28
  TabPFNv2/simple/ne1  url_unique  5000  1000     1  0.5  full     10    0.0831    0.0834   +0.4   0.9740   0.9740  +0.0    0.9741    0.9741   +0.0   0.9481   0.9481    +0.0   0.9950   0.9950  -0.0     32       63
  TabPFNv2/simple/ne1  url_unique  5000  1000     1  0.5  none     10    0.0831    0.0807   -2.9   0.9740   0.9760  +0.2    0.9741    0.9761   +0.2   0.9481   0.9520    +0.4   0.9950   0.9950  +0.0     62       63
  TabPFNv2/simple/ne1  url_unique  5000  1000     1    5  none     10    0.0831    0.0813   -2.1   0.9740   0.9750  +0.1    0.9741    0.9751   +0.1   0.9481   0.9501    +0.2   0.9950   0.9946  -0.0     62       63
  TabPFNv2/simple/ne1  url_unique  5000  1000     1   50  none     10    0.0831    0.0846   +1.7   0.9740   0.9740  +0.0    0.9741    0.9742   +0.0   0.9481   0.9483    +0.0   0.9950   0.9951  +0.0     62       63
  TabPFNv2/simple/ne1  url_unique  5000  1000     1   50  none    100    0.0831    0.0959  +15.3   0.9740   0.9710  -0.3    0.9741    0.9712   -0.3   0.9481   0.9423    -0.6   0.9950   0.9947  -0.0     62       63
  TabPFNv2/simple/ne1        wids  5000  1000     1  0.5  full     10    0.2117    0.2121   +0.2   0.9290   0.9290  +0.0    0.6606    0.6606   +0.0   0.4636   0.4636    +0.0   0.8761   0.8760  -0.0     88      108
  TabPFNv2/simple/ne1        wids  5000  1000     1  0.5  none     10    0.2117    0.2116   -0.1   0.9290   0.9280  -0.1    0.6606    0.6601   -0.1   0.4636   0.4568    -1.5   0.8761   0.8770  +0.1    106      108
  TabPFNv2/simple/ne1        wids  5000  1000     1    5  none     10    0.2117    0.2125   +0.4   0.9290   0.9290  +0.0    0.6606    0.6606   +0.0   0.4636   0.4636    +0.0   0.8761   0.8758  -0.0    106      108
  TabPFNv2/simple/ne1        wids  5000  1000     1   50  none     10    0.2117    0.2195   +3.7   0.9290   0.9280  -0.1    0.6606    0.6501   -1.6   0.4636   0.4492    -3.1   0.8761   0.8687  -0.9    106      108
  TabPFNv2/simple/ne1        wids  5000  1000     1   50  none    100    0.2117    0.2232   +5.4   0.9290   0.9250  -0.4    0.6606    0.6484   -1.8   0.4636   0.4284    -7.6   0.8761   0.8681  -0.9    106      108

TABLE 2 -- lcld_v2: poisoned-row ablation (100 iterations, eps 0.5)
                model  dataset   ctx  test  rows  eps  cons  iters  loss_old  loss_new  loss%  acc_old  acc_new  acc%  bacc_old  bacc_new  bacc%  mcc_old  mcc_new    mcc%  auc_old  auc_new  auc%  moved  ofcells
  -------------------  -------  ----  ----  ----  ---  ----  -----  --------  --------  -----  -------  -------  ----  --------  --------  -----  -------  -------  ------  -------  -------  ----  -----  -------
  TabPFNv2/simple/ne1  lcld_v2  5000  1000     1  0.5  full    100    0.4487    0.4489   +0.0   0.8020   0.8020  +0.0    0.5185    0.5185   +0.0   0.1028   0.1028   ~+0.0   0.7243   0.7244  +0.0     13       28
  TabPFNv2/simple/ne1  lcld_v2  5000  1000     2  0.5  full    100    0.4487    0.4490   +0.1   0.8020   0.8010  -0.1    0.5185    0.5179   -0.1   0.1028   0.0971   ~-5.5   0.7243   0.7243  -0.0     26       56
  TabPFNv2/simple/ne1  lcld_v2  5000  1000     4  0.5  full    100    0.4487    0.4490   +0.1   0.8020   0.8020  +0.0    0.5185    0.5185   +0.0   0.1028   0.1028   ~+0.0   0.7243   0.7240  -0.0     49      112
  TabPFNv2/simple/ne1  lcld_v2  5000  1000     8  0.5  full    100    0.4487    0.4496   +0.2   0.8020   0.8020  +0.0    0.5185    0.5166   -0.4   0.1028   0.0968   ~-5.8   0.7243   0.7220  -0.3     98      224
  TabPFNv2/simple/ne1  lcld_v2  5000  1000    16  0.5  full    100    0.4487    0.4500   +0.3   0.8020   0.8010  -0.1    0.5185    0.5141   -0.9   0.1028   0.0842  ~-18.1   0.7243   0.7221  -0.3    203      448
  TabPFNv2/simple/ne1  lcld_v2  5000  1000    32  0.5  full    100    0.4487    0.4505   +0.4   0.8020   0.8010  -0.1    0.5185    0.5160   -0.5   0.1028   0.0909  ~-11.6   0.7243   0.7220  -0.3    405      896
  TabPFNv2/simple/ne1  lcld_v2  5000  1000    64  0.5  full    100    0.4487    0.4529   +0.9   0.8020   0.8010  -0.1    0.5185    0.5141   -0.9   0.1028   0.0842  ~-18.1   0.7243   0.7201  -0.6    797     1792
  TabPFNv2/simple/ne1  lcld_v2  5000  1000   128  0.5  full    100    0.4487    0.4573   +1.9   0.8020   0.7980  -0.5    0.5185    0.5180   -0.1   0.1028   0.0881  ~-14.3   0.7243   0.7113  -1.8   1604     3584
  TabPFNv2/simple/ne1  lcld_v2  5000  1000     1  0.5  none    100    0.4487    0.4506   +0.4   0.8020   0.8070  +0.6    0.5185    0.5236   +1.0   0.1028   0.1410  ~+37.1   0.7243   0.7196  -0.6     28       28
  TabPFNv2/simple/ne1  lcld_v2  5000  1000     2  0.5  none    100    0.4487    0.4516   +0.6   0.8020   0.8030  +0.1    0.5185    0.5230   +0.9   0.1028   0.1195  ~+16.2   0.7243   0.7217  -0.4     56       56
  TabPFNv2/simple/ne1  lcld_v2  5000  1000     4  0.5  none    100    0.4487    0.4527   +0.9   0.8020   0.8020  +0.0    0.5185    0.5204   +0.4   0.1028   0.1085   ~+5.5   0.7243   0.7206  -0.5    112      112
  TabPFNv2/simple/ne1  lcld_v2  5000  1000     8  0.5  none    100    0.4487    0.4563   +1.7   0.8020   0.8050  +0.4    0.5185    0.5242   +1.1   0.1028   0.1314  ~+27.8   0.7243   0.7166  -1.1    224      224
  TabPFNv2/simple/ne1  lcld_v2  5000  1000    16  0.5  none    100    0.4487    0.4597   +2.4   0.8020   0.8070  +0.6    0.5185    0.5255   +1.3   0.1028   0.1447  ~+40.8   0.7243   0.7099  -2.0    448      448
  TabPFNv2/simple/ne1  lcld_v2  5000  1000    32  0.5  none    100    0.4487    0.4855   +8.2   0.8020   0.8030  +0.1    0.5185    0.5172   -0.2   0.1028   0.1031   ~+0.3   0.7243   0.6964  -3.8    896      896
  TabPFNv2/simple/ne1  lcld_v2  5000  1000    64  0.5  none    100    0.4487    0.5216  +16.3   0.8020   0.8030  +0.1    0.5185    0.5306   +2.3   0.1028   0.1385  ~+34.7   0.7243   0.6757  -6.7   1792     1792
  TabPFNv2/simple/ne1  lcld_v2  5000  1000   128  0.5  none    100    0.4487    0.5508  +22.7   0.8020   0.8020  +0.0    0.5185    0.5224   +0.7   0.1028   0.1139  ~+10.8   0.7243   0.6861  -5.3   3584     3584

TABLE 3 -- url_unique: poisoned-row ablation (100 iterations, eps 0.5)
                model     dataset   ctx  test  rows  eps  cons  iters  loss_old  loss_new    loss%  acc_old  acc_new   acc%  bacc_old  bacc_new  bacc%  mcc_old  mcc_new   mcc%  auc_old  auc_new  auc%  moved  ofcells
  -------------------  ----------  ----  ----  ----  ---  ----  -----  --------  --------  -------  -------  -------  -----  --------  --------  -----  -------  -------  -----  -------  -------  ----  -----  -------
  TabPFNv2/simple/ne1  url_unique  5000  1000     1  0.5  full    100    0.0831    0.0834     +0.4   0.9740   0.9750   +0.1    0.9741    0.9751   +0.1   0.9481   0.9501   +0.2   0.9950   0.9950  +0.0     31       63
  TabPFNv2/simple/ne1  url_unique  5000  1000     2  0.5  full    100    0.0831    0.0838     +0.8   0.9740   0.9730   -0.1    0.9741    0.9731   -0.1   0.9481   0.9461   -0.2   0.9950   0.9949  -0.0     64      126
  TabPFNv2/simple/ne1  url_unique  5000  1000     4  0.5  full    100    0.0831    0.0832     +0.0   0.9740   0.9740   +0.0    0.9741    0.9741   +0.0   0.9481   0.9481   +0.0   0.9950   0.9949  -0.0    117      252
  TabPFNv2/simple/ne1  url_unique  5000  1000     8  0.5  full    100    0.0831    0.0838     +0.8   0.9740   0.9720   -0.2    0.9741    0.9721   -0.2   0.9481   0.9441   -0.4   0.9950   0.9950  +0.0    228      504
  TabPFNv2/simple/ne1  url_unique  5000  1000    16  0.5  full    100    0.0831    0.0852     +2.6   0.9740   0.9710   -0.3    0.9741    0.9711   -0.3   0.9481   0.9421   -0.6   0.9950   0.9948  -0.0    459     1008
  TabPFNv2/simple/ne1  url_unique  5000  1000    32  0.5  full    100    0.0831    0.0852     +2.5   0.9740   0.9730   -0.1    0.9741    0.9731   -0.1   0.9481   0.9460   -0.2   0.9950   0.9947  -0.0    979     2016
  TabPFNv2/simple/ne1  url_unique  5000  1000    64  0.5  full    100    0.0831    0.0855     +2.9   0.9740   0.9740   +0.0    0.9741    0.9741   +0.0   0.9481   0.9481   +0.0   0.9950   0.9945  -0.0   1938     4032
  TabPFNv2/simple/ne1  url_unique  5000  1000   128  0.5  full    100    0.0831    0.0890     +7.1   0.9740   0.9700   -0.4    0.9741    0.9702   -0.4   0.9481   0.9402   -0.8   0.9950   0.9945  -0.0   3942     8064
  TabPFNv2/simple/ne1  url_unique  5000  1000     1  0.5  none    100    0.0831    0.0800     -3.7   0.9740   0.9740   +0.0    0.9741    0.9741   -0.0   0.9481   0.9481   -0.0   0.9950   0.9950  +0.0     62       63
  TabPFNv2/simple/ne1  url_unique  5000  1000     2  0.5  none    100    0.0831    0.0927    +11.6   0.9740   0.9690   -0.5    0.9741    0.9692   -0.5   0.9481   0.9382   -1.0   0.9950   0.9935  -0.1    124      126
  TabPFNv2/simple/ne1  url_unique  5000  1000     4  0.5  none    100    0.0831    0.0969    +16.6   0.9740   0.9720   -0.2    0.9741    0.9722   -0.2   0.9481   0.9444   -0.4   0.9950   0.9934  -0.2    248      252
  TabPFNv2/simple/ne1  url_unique  5000  1000     8  0.5  none    100    0.0831    0.1048    +26.1   0.9740   0.9640   -1.0    0.9741    0.9642   -1.0   0.9481   0.9284   -2.1   0.9950   0.9924  -0.3    496      504
  TabPFNv2/simple/ne1  url_unique  5000  1000    16  0.5  none    100    0.0831    0.1097    +32.0   0.9740   0.9630   -1.1    0.9741    0.9633   -1.1   0.9481   0.9266   -2.3   0.9950   0.9924  -0.3    992     1008
  TabPFNv2/simple/ne1  url_unique  5000  1000    32  0.5  none    100    0.0831    0.5127   +516.8   0.9740   0.7570  -22.3    0.9741    0.7607  -21.9   0.9481   0.5837  -38.4   0.9950   0.9797  -1.5   1984     2016
  TabPFNv2/simple/ne1  url_unique  5000  1000    64  0.5  none    100    0.0831    1.4154  +1602.8   0.9740   0.4970  -49.0    0.9741    0.5049  -48.2   0.9481   0.0698  -92.6   0.9950   0.9755  -2.0   3968     4032
  TabPFNv2/simple/ne1  url_unique  5000  1000   128  0.5  none    100    0.0831    1.3868  +1568.4   0.9740   0.4980  -48.9    0.9741    0.5059  -48.1   0.9481   0.0765  -91.9   0.9950   0.9813  -1.4   7936     8064

TABLE 4 -- wids: poisoned-row ablation (100 iterations, eps 0.5)
                model  dataset   ctx  test  rows  eps  cons  iters  loss_old  loss_new  loss%  acc_old  acc_new  acc%  bacc_old  bacc_new  bacc%  mcc_old  mcc_new   mcc%  auc_old  auc_new  auc%  moved  ofcells
  -------------------  -------  ----  ----  ----  ---  ----  -----  --------  --------  -----  -------  -------  ----  --------  --------  -----  -------  -------  -----  -------  -------  ----  -----  -------
  TabPFNv2/simple/ne1     wids  5000  1000     1  0.5  full    100    0.2117    0.2129   +0.6   0.9290   0.9290  +0.0    0.6606    0.6606   +0.0   0.4636   0.4636   +0.0   0.8761   0.8762  +0.0     93      108
  TabPFNv2/simple/ne1     wids  5000  1000     2  0.5  full    100    0.2117    0.2142   +1.2   0.9290   0.9280  -0.1    0.6606    0.6601   -0.1   0.4636   0.4568   -1.5   0.8761   0.8762  +0.0    180      216
  TabPFNv2/simple/ne1     wids  5000  1000     4  0.5  full    100    0.2117    0.2157   +1.9   0.9290   0.9300  +0.1    0.6606    0.6662   +0.8   0.4636   0.4742   +2.3   0.8761   0.8742  -0.2    360      432
  TabPFNv2/simple/ne1     wids  5000  1000     8  0.5  full    100    0.2117    0.2188   +3.4   0.9290   0.9300  +0.1    0.6606    0.6662   +0.8   0.4636   0.4742   +2.3   0.8761   0.8738  -0.3    721      864
  TabPFNv2/simple/ne1     wids  5000  1000    16  0.5  full    100    0.2117    0.2234   +5.5   0.9290   0.9270  -0.2    0.6606    0.6545   -0.9   0.4636   0.4460   -3.8   0.8761   0.8709  -0.6   1411     1728
  TabPFNv2/simple/ne1     wids  5000  1000    32  0.5  full    100    0.2117    0.2266   +7.1   0.9290   0.9240  -0.5    0.6606    0.6379   -3.4   0.4636   0.4127  -11.0   0.8761   0.8697  -0.7   2826     3456
  TabPFNv2/simple/ne1     wids  5000  1000    64  0.5  full    100    0.2117    0.2311   +9.1   0.9290   0.9210  -0.9    0.6606    0.6062   -8.2   0.4636   0.3621  -21.9   0.8761   0.8654  -1.2   5676     6912
  TabPFNv2/simple/ne1     wids  5000  1000   128  0.5  full    100    0.2117    0.2280   +7.7   0.9290   0.9210  -0.9    0.6606    0.6212   -6.0   0.4636   0.3774  -18.6   0.8761   0.8666  -1.1  11334    13824
