row_index,feature,original,poisoned,delta,delta_scaled
0,length_url,37.0,-736.775,-773.775,-0.475
0,length_hostname,19.0,-55.377754,-74.377754,-0.35417977
0,ip,0.0,0.032676708,0.032676708,0.032676708
0,nb_dots,3.0,2.6673431,-0.33265686,-0.014463343
0,nb_hyphens,0.0,20.425,20.425,0.475
0,nb_at,0.0,1.1921194,1.1921194,0.29802984
0,nb_qm,0.0,-1.425,-1.425,-0.475
0,nb_and,0.0,6.316528,6.316528,0.33244884
0,nb_or,0.0,0.0,0.0,0.0
0,nb_eq,0.0,9.025,9.025,0.475
0,nb_underscore,0.0,8.55,8.55,0.47500002
0,nb_tilde,0.0,-0.43385532,-0.43385532,-0.43385532
0,nb_percent,0.0,-29.846134,-29.846134,-0.31089723
0,nb_slash,3.0,2.2920902,-0.7079098,-0.022835799
0,nb_star,0.0,-0.3904764,-0.3904764,-0.3904764
0,nb_colon,1.0,1.849447,0.849447,0.1415745
0,nb_comma,0.0,1.497338,1.497338,0.3743345
0,nb_semicolumn,0.0,-6.662959,-6.662959,-0.33314794
0,nb_dollar,0.0,-0.87056184,-0.87056184,-0.14509363
0,nb_space,0.0,3.5933146,3.5933146,0.19962859
0,nb_www,1.0,1.6670098,0.66700983,0.33350492
0,nb_com,0.0,2.85,2.85,0.475
0,nb_dslash,0.0,0.04609617,0.04609617,0.04609617
0,http_in_path,0.0,-1.9,-1.9,-0.475
0,https_token,1.0,1.475,0.47500002,0.47500002
0,ratio_digits_url,0.0,-0.20243528,-0.20243528,-0.27965286
0,ratio_digits_host,0.0,0.20808898,0.20808898,0.2601112
0,punycode,0.0,-0.24187781,-0.24187781,-0.24187781
0,port,0.0,-0.4497283,-0.4497283,-0.4497283
0,tld_in_path,0.0,-0.16953793,-0.16953793,-0.16953793
0,tld_in_subdomain,0.0,0.475,0.475,0.475
0,abnormal_subdomain,0.0,-0.35726362,-0.35726362,-0.35726362
0,nb_subdomains,3.0,3.880725,0.8807249,0.44036245
0,prefix_suffix,0.0,0.41442376,0.41442376,0.41442376
0,random_domain,0.0,-0.034407526,-0.034407526,-0.034407526
0,shortening_service,0.0,-0.475,-0.475,-0.475
0,path_extension,0.0,0.029026138,0.029026138,0.029026138
0,nb_redirection,0.0,-0.1185639,-0.1185639,-0.01976065
0,nb_external_redirection,0.0,-0.36714453,-0.36714453,-0.36714453
0,length_words_raw,4.0,-5.943524,-9.943523,-0.094700225
0,char_repeat,4.0,3.5317428,-0.4682572,-0.0032072403
0,shortest_words_raw,3.0,-0.31258833,-3.3125882,-0.110419616
0,shortest_word_host,3.0,4.9676905,1.9676905,0.051781327
0,shortest_word_path,3.0,1.1059331,-1.8940669,-0.047351677
0,longest_words_raw,11.0,50.996628,39.996628,0.048363514
0,longest_word_host,11.0,-9.45315,-20.45315,-0.33529752
0,longest_word_path,6.0,34.0128,28.012798,0.033791073
0,avg_words_raw,5.75,-3.8027754,-9.552775,-0.07566555
0,avg_word_host,7.0,-10.015516,-17.015516,-0.44777673
0,avg_word_path,4.5,-114.25,-118.75,-0.475
0,phish_hints,0.0,-4.75,-4.75,-0.475
0,domain_in_brand,0.0,-0.1864355,-0.1864355,-0.1864355
0,brand_in_subdomain,0.0,-0.475,-0.475,-0.475
0,brand_in_path,0.0,0.46679723,0.46679723,0.46679723
0,suspecious_tld,0.0,-0.475,-0.475,-0.475
0,statistical_report,0.0,-0.5211307,-0.5211307,-0.26056534
0,whois_registered_domain,0.0,-0.32707065,-0.32707065,-0.32707065
0,domain_registration_length,45.0,3192.0833,3147.0833,0.105500616
0,domain_age,-1.0,-4474.064,-4473.064,-0.34712586
0,web_traffic,0.0,-2.223482e+06,-2.223482e+06,-0.20649005
0,dns_record,1.0,0.87380284,-0.12619716,-0.12619716
0,google_index,1.0,0.7942697,-0.20573032,-0.20573032
0,page_rank,4.0,8.109436,4.109436,0.4109436
