row_index,feature,original,poisoned,delta,delta_scaled
0,length_url,37.0,664.0,627.0,0.38489872
0,length_hostname,19.0,45.0,26.0,0.123809524
0,ip,0.0,0.0,0.0,0.0
0,nb_dots,3.0,2.0,-1.0,-0.04347826
0,nb_hyphens,0.0,8.0,8.0,0.18604651
0,nb_at,0.0,0.0,0.0,0.0
0,nb_qm,0.0,0.0,0.0,0.0
0,nb_and,0.0,3.0,3.0,0.15789473
0,nb_or,0.0,0.0,0.0,0.0
0,nb_eq,0.0,4.0,4.0,0.21052632
0,nb_underscore,0.0,4.0,4.0,0.22222222
0,nb_tilde,0.0,0.0,0.0,0.0
0,nb_percent,0.0,40.0,40.0,0.41666666
0,nb_slash,3.0,13.0,10.0,0.32258064
0,nb_star,0.0,0.0,0.0,0.0
0,nb_colon,1.0,2.0,1.0,0.16666667
0,nb_comma,0.0,1.0,1.0,0.25
0,nb_semicolumn,0.0,0.0,0.0,0.0
0,nb_dollar,0.0,0.0,0.0,0.0
0,nb_space,0.0,8.0,8.0,0.44444445
0,nb_www,1.0,1.0,0.0,0.0
0,nb_com,0.0,0.0,0.0,0.0
0,nb_dslash,0.0,0.0,0.0,0.0
0,http_in_path,0.0,0.0,0.0,0.0
0,https_token,1.0,1.0,0.0,0.0
0,ratio_digits_url,0.0,0.3416633,0.3416633,0.47198847
0,ratio_digits_host,0.0,0.09376495,0.09376495,0.11720619
0,punycode,0.0,0.0,0.0,0.0
0,port,0.0,0.0,0.0,0.0
0,tld_in_path,0.0,0.0,0.0,0.0
0,tld_in_subdomain,0.0,0.0,0.0,0.0
0,abnormal_subdomain,0.0,0.0,0.0,0.0
0,nb_subdomains,3.0,3.0,0.0,0.0
0,prefix_suffix,0.0,0.0,0.0,0.0
0,random_domain,0.0,0.0,0.0,0.0
0,shortening_service,0.0,0.0,0.0,0.0
0,path_extension,0.0,0.0,0.0,0.0
0,nb_redirection,0.0,0.0,0.0,0.0
0,nb_external_redirection,0.0,0.0,0.0,0.0
0,length_words_raw,4.0,50.0,46.0,0.43809524
0,char_repeat,4.0,2.0,-2.0,-0.01369863
0,shortest_words_raw,3.0,14.0,11.0,0.36666667
0,shortest_word_host,3.0,20.0,17.0,0.4473684
0,shortest_word_path,3.0,10.0,7.0,0.175
0,longest_words_raw,11.0,198.0,187.0,0.2261185
0,longest_word_host,11.0,10.0,-1.0,-0.016393438
0,longest_word_path,6.0,98.0,92.0,0.11097708
0,avg_words_raw,5.75,23.283873,17.533873,0.13888216
0,avg_word_host,7.0,22.2861,15.2861,0.4022658
0,avg_word_path,4.5,122.48956,117.98956,0.47195825
0,phish_hints,0.0,0.0,0.0,0.0
0,domain_in_brand,0.0,0.0,0.0,0.0
0,brand_in_subdomain,0.0,0.0,0.0,0.0
0,brand_in_path,0.0,0.0,0.0,0.0
0,suspecious_tld,0.0,0.0,0.0,0.0
0,statistical_report,0.0,0.0,0.0,0.0
0,whois_registered_domain,0.0,0.0,0.0,0.0
0,domain_registration_length,45.0,2744.0,2699.0,0.09047939
0,domain_age,-1.0,5041.0,5042.0,0.39127737
0,web_traffic,0.0,2.345648e+06,2.345648e+06,0.21783535
0,dns_record,1.0,1.0,0.0,0.0
0,google_index,1.0,1.0,0.0,0.0
0,page_rank,4.0,4.0,0.0,0.0
1,length_url,77.0,815.0,738.0,0.45303866
1,length_hostname,23.0,93.0,70.0,0.33333334
1,ip,1.0,1.0,0.0,0.0
1,nb_dots,1.0,11.0,10.0,0.4347826
1,nb_hyphens,0.0,19.0,19.0,0.44186047
1,nb_at,0.0,0.0,0.0,0.0
1,nb_qm,0.0,1.0,1.0,0.33333334
1,nb_and,0.0,0.0,0.0,0.0
1,nb_or,0.0,0.0,0.0,0.0
1,nb_eq,0.0,6.0,6.0,0.31578946
1,nb_underscore,0.0,0.0,0.0,0.0
1,nb_tilde,0.0,0.0,0.0,0.0
1,nb_percent,0.0,13.0,13.0,0.13541667
1,nb_slash,5.0,19.0,14.0,0.45161292
1,nb_star,0.0,0.0,0.0,0.0
1,nb_colon,1.0,1.0,0.0,0.0
1,nb_comma,0.0,1.0,1.0,0.25
