row_index,feature,original,poisoned,delta,delta_scaled
0,length_url,37.0,810.0,773.0,0.47452426
0,length_hostname,19.0,20.0,1.0,0.0047619045
0,ip,0.0,0.0,0.0,0.0
0,nb_dots,3.0,13.0,10.0,0.4347826
0,nb_hyphens,0.0,16.0,16.0,0.37209302
0,nb_at,0.0,1.0,1.0,0.25
0,nb_qm,0.0,1.0,1.0,0.33333334
0,nb_and,0.0,5.0,5.0,0.2631579
0,nb_or,0.0,0.0,0.0,0.0
0,nb_eq,0.0,9.0,9.0,0.47368422
0,nb_underscore,0.0,6.0,6.0,0.33333334
0,nb_tilde,0.0,0.0,0.0,0.0
0,nb_percent,0.0,45.0,45.0,0.46875
0,nb_slash,3.0,17.0,14.0,0.4516129
0,nb_star,0.0,0.0,0.0,0.0
0,nb_colon,1.0,1.0,0.0,0.0
0,nb_comma,0.0,1.0,1.0,0.25
0,nb_semicolumn,0.0,9.0,9.0,0.45
0,nb_dollar,0.0,0.0,0.0,0.0
0,nb_space,0.0,5.0,5.0,0.2777778
0,nb_www,1.0,1.0,0.0,0.0
0,nb_com,0.0,2.0,2.0,0.33333334
0,nb_dslash,0.0,0.0,0.0,0.0
0,http_in_path,0.0,1.0,1.0,0.25
0,https_token,1.0,1.0,0.0,0.0
0,ratio_digits_url,0.0,0.05641179,0.05641179,0.07792969
0,ratio_digits_host,0.0,0.30281255,0.30281255,0.3785157
0,punycode,0.0,0.0,0.0,0.0
0,port,0.0,0.0,0.0,0.0
0,tld_in_path,0.0,0.0,0.0,0.0
0,tld_in_subdomain,0.0,0.0,0.0,0.0
0,abnormal_subdomain,0.0,0.0,0.0,0.0
0,nb_subdomains,3.0,3.0,0.0,0.0
0,prefix_suffix,0.0,0.0,0.0,0.0
0,random_domain,0.0,0.0,0.0,0.0
0,shortening_service,0.0,0.0,0.0,0.0
0,path_extension,0.0,0.0,0.0,0.0
0,nb_redirection,0.0,2.0,2.0,0.33333334
0,nb_external_redirection,0.0,0.0,0.0,0.0
0,length_words_raw,4.0,53.0,49.0,0.46666667
0,char_repeat,4.0,73.0,69.0,0.47260273
0,shortest_words_raw,3.0,3.0,0.0,0.0
0,shortest_word_host,3.0,21.0,18.0,0.47368422
0,shortest_word_path,3.0,18.0,15.0,0.375
0,longest_words_raw,11.0,149.0,138.0,0.1668682
0,longest_word_host,11.0,39.0,28.0,0.45901638
0,longest_word_path,6.0,9.0,3.0,0.0036188178
0,avg_words_raw,5.75,2.0,-3.75,-0.02970297
0,avg_word_host,7.0,25.050001,18.050001,0.47500002
0,avg_word_path,4.5,123.25,118.75,0.475
0,phish_hints,0.0,0.0,0.0,0.0
0,domain_in_brand,0.0,0.0,0.0,0.0
0,brand_in_subdomain,0.0,0.0,0.0,0.0
0,brand_in_path,0.0,0.0,0.0,0.0
0,suspecious_tld,0.0,0.0,0.0,0.0
0,statistical_report,0.0,0.0,0.0,0.0
0,whois_registered_domain,0.0,0.0,0.0,0.0
0,domain_registration_length,45.0,14214.0,14169.0,0.47499162
0,domain_age,-1.0,2676.0,2677.0,0.20774484
0,web_traffic,0.0,0.0,0.0,0.0
0,dns_record,1.0,1.0,0.0,0.0
0,google_index,1.0,1.0,0.0,0.0
0,page_rank,4.0,6.0,2.0,0.20000002
