row_index,feature,original,poisoned,delta,delta_scaled
0,length_url,37.0,-57391.613,-57428.613,-35.253906
0,length_hostname,19.0,-9956.0,-9975.0,-47.5
0,ip,0.0,-29.13086,-29.13086,-29.13086
0,nb_dots,3.0,631.4009,628.4009,27.321777
0,nb_hyphens,0.0,-2042.5,-2042.5,-47.5
0,nb_at,0.0,-109.84375,-109.84375,-27.460938
0,nb_qm,0.0,115.78125,115.78125,38.59375
0,nb_and,0.0,-902.5,-902.5,-47.5
0,nb_or,0.0,0.0,0.0,0.0
0,nb_eq,0.0,-553.4863,-553.4863,-29.13086
0,nb_underscore,0.0,-604.5117,-604.5117,-33.583984
0,nb_tilde,0.0,-29.13086,-29.13086,-29.13086
0,nb_percent,0.0,-4560.0,-4560.0,-47.5
0,nb_slash,3.0,906.05664,903.05664,29.13086
0,nb_star,0.0,-47.5,-47.5,-47.5
0,nb_colon,1.0,-93.62891,-94.62891,-15.771484
0,nb_comma,0.0,-109.28711,-109.28711,-27.321777
0,nb_semicolumn,0.0,-950.0,-950.0,-47.5
0,nb_dollar,0.0,-285.0,-285.0,-47.5
0,nb_space,0.0,779.8535,779.8535,43.325195
0,nb_www,1.0,96.0,95.0,47.5
0,nb_com,0.0,-94.62891,-94.62891,-15.771484
0,nb_dslash,0.0,-29.13086,-29.13086,-29.13086
0,http_in_path,0.0,172.1875,172.1875,43.046875
0,https_token,1.0,-14.771484,-15.771484,-15.771484
0,ratio_digits_url,0.0,-19.878439,-19.878439,-27.460938
0,ratio_digits_host,0.0,-34.660156,-34.660156,-43.325195
0,punycode,0.0,-39.15039,-39.15039,-39.15039
0,port,0.0,-24.677734,-24.677734,-24.677734
0,tld_in_path,0.0,-24.677734,-24.677734,-24.677734
0,tld_in_subdomain,0.0,-43.046875,-43.046875,-43.046875
0,abnormal_subdomain,0.0,-29.13086,-29.13086,-29.13086
0,nb_subdomains,3.0,61.26172,58.26172,29.13086
0,prefix_suffix,0.0,-29.13086,-29.13086,-29.13086
0,random_domain,0.0,-39.15039,-39.15039,-39.15039
0,shortening_service,0.0,-29.13086,-29.13086,-29.13086
0,path_extension,0.0,-46.38672,-46.38672,-46.38672
0,nb_redirection,0.0,285.0,285.0,47.5
0,nb_external_redirection,0.0,6.8652344,6.8652344,6.8652344
0,length_words_raw,4.0,-4866.6055,-4870.6055,-46.38672
0,char_repeat,4.0,6939.0,6935.0,47.5
0,shortest_words_raw,3.0,876.9258,873.9258,29.13086
0,shortest_word_host,3.0,-1802.0,-1805.0,-47.5
0,shortest_word_path,3.0,1168.2344,1165.2344,29.13086
0,longest_words_raw,11.0,-5666.5483,-5677.5483,-6.865234
0,longest_word_host,11.0,1677.6283,1666.6283,27.321775
0,longest_word_path,6.0,39383.5,39377.5,47.5
0,avg_words_raw,5.75,6002.625,5996.875,47.5
0,avg_word_host,7.0,-592.3164,-599.3164,-15.771484
0,avg_word_path,4.5,8817.977,8813.477,35.253906
0,phish_hints,0.0,-352.53906,-352.53906,-35.253906
0,domain_in_brand,0.0,-29.13086,-29.13086,-29.13086
0,brand_in_subdomain,0.0,-27.321777,-27.321777,-27.321777
0,brand_in_path,0.0,47.5,47.5,47.5
0,suspecious_tld,0.0,-29.13086,-29.13086,-29.13086
0,statistical_report,0.0,-13.730469,-13.730469,-6.8652344
0,whois_registered_domain,0.0,-47.5,-47.5,-47.5
0,domain_registration_length,45.0,-1.2840432e+06,-1.2840882e+06,-43.04687
0,domain_age,-1.0,375379.25,375380.25,29.130857
0,web_traffic,0.0,-4.6352816e+08,-4.6352816e+08,-43.046875
0,dns_record,1.0,-45.38672,-46.38672,-46.38672
0,google_index,1.0,47.38672,46.38672,46.38672
0,page_rank,4.0,278.60938,274.60938,27.460938
