row_index,feature,original,poisoned,delta,delta_scaled
0,length_url,37.0,-44363.215,-44400.215,-27.256117
0,length_hostname,19.0,6751.8706,6732.8706,32.061287
0,ip,0.0,-29.763477,-29.763477,-29.763477
0,nb_dots,3.0,-173.64992,-176.64992,-7.6804314
0,nb_hyphens,0.0,-233.08588,-233.08588,-5.420602
0,nb_at,0.0,122.91395,122.91395,30.728487
0,nb_qm,0.0,-1.2206979,-1.2206979,-0.4068993
0,nb_and,0.0,-199.05495,-199.05495,-10.476576
0,nb_or,0.0,0.0,0.0,0.0
0,nb_eq,0.0,-580.49854,-580.49854,-30.552555
0,nb_underscore,0.0,837.00507,837.00507,46.500282
0,nb_tilde,0.0,-10.631692,-10.631692,-10.631692
0,nb_percent,0.0,4560.0,4560.0,47.5
0,nb_slash,3.0,976.50287,973.50287,31.403316
0,nb_star,0.0,-47.5,-47.5,-47.5
0,nb_colon,1.0,-164.57661,-165.57661,-27.596102
0,nb_comma,0.0,-186.00078,-186.00078,-46.500195
0,nb_semicolumn,0.0,-435.10876,-435.10876,-21.755438
0,nb_dollar,0.0,-148.27756,-148.27756,-24.712927
0,nb_space,0.0,724.4176,724.4176,40.245422
0,nb_www,1.0,30.517872,29.517872,14.758936
0,nb_com,0.0,-57.981056,-57.981056,-9.663509
0,nb_dslash,0.0,-29.439457,-29.439457,-29.439457
0,http_in_path,0.0,105.64067,105.64067,26.410168
0,https_token,1.0,0.002389118,-0.99761087,-0.99761087
0,ratio_digits_url,0.0,9.401289,9.401289,12.987348
0,ratio_digits_host,0.0,26.25476,26.25476,32.81845
0,punycode,0.0,-30.339382,-30.339382,-30.339382
0,port,0.0,-15.468135,-15.468135,-15.468135
0,tld_in_path,0.0,26.586115,26.586115,26.586115
0,tld_in_subdomain,0.0,-30.113369,-30.113369,-30.113369
0,abnormal_subdomain,0.0,45.56772,45.56772,45.56772
0,nb_subdomains,3.0,-18.766882,-21.766882,-10.883441
0,prefix_suffix,0.0,0.08147396,0.08147396,0.08147396
0,random_domain,0.0,-1.2632456,-1.2632456,-1.2632456
0,shortening_service,0.0,46.28398,46.28398,46.28398
0,path_extension,0.0,-40.201225,-40.201225,-40.201225
0,nb_redirection,0.0,283.03226,283.03226,47.172043
0,nb_external_redirection,0.0,-3.6225388,-3.6225388,-3.6225388
0,length_words_raw,4.0,-4983.5,-4987.5,-47.5
0,char_repeat,4.0,1948.5519,1944.5519,13.318849
0,shortest_words_raw,3.0,-524.13824,-527.13824,-17.571276
0,shortest_word_host,3.0,-1802.0,-1805.0,-47.5
0,shortest_word_path,3.0,661.30035,658.30035,16.457508
0,longest_words_raw,11.0,29252.607,29241.607,35.358654
0,longest_word_host,11.0,2908.5,2897.5,47.5
0,longest_word_path,6.0,-7484.8833,-7490.8833,-9.036047
0,avg_words_raw,5.75,-201.72401,-207.47401,-1.6433586
0,avg_word_host,7.0,1010.13336,1003.13336,26.398247
0,avg_word_path,4.5,-11493.437,-11497.937,-45.99175
0,phish_hints,0.0,-48.734394,-48.734394,-4.8734393
0,domain_in_brand,0.0,47.5,47.5,47.5
0,brand_in_subdomain,0.0,-47.08252,-47.08252,-47.08252
0,brand_in_path,0.0,-44.065643,-44.065643,-44.065643
0,suspecious_tld,0.0,42.41484,42.41484,42.41484
0,statistical_report,0.0,-95.0,-95.0,-47.5
0,whois_registered_domain,0.0,-47.5,-47.5,-47.5
0,domain_registration_length,45.0,1.3154505e+06,1.3154055e+06,44.096733
0,domain_age,-1.0,61880.164,61881.164,4.8022013
0,web_traffic,0.0,-4.246834e+08,-4.246834e+08,-39.439445
0,dns_record,1.0,-46.5,-47.5,-47.5
0,google_index,1.0,4.0954857,3.0954857,3.0954857
0,page_rank,4.0,142.15924,138.15924,13.815925
