row_index,feature,original,poisoned,delta,delta_scaled
0,age,60.0,90.10452,30.104523,0.41239065
0,bmi,26.485714,2.8291435,-23.65657,-0.44660264
0,elective_surgery,0.0,0.25354522,0.25354522,0.25354522
0,ethnicity,1.0,3.2269201,2.2269201,0.37115335
0,gender,2.0,1.05,-0.95000005,-0.47500002
0,height,180.3,156.36862,-23.931381,-0.40985414
0,hospital_admit_source,3.0,-1.7484107,-4.7484107,-0.31656072
0,icu_admit_source,1.0,3.301071,2.301071,0.4602142
0,icu_stay_type,1.0,0.59979045,-0.40020955,-0.20010477
0,icu_type,1.0,0.5391571,-0.4608429,-0.0658347
0,pre_icu_los_days,0.0,-2.1856623,-2.1856623,-0.032501563
0,readmission_status,0.0,0.0,0.0,0.0
0,weight,86.1,116.70456,30.60456,0.20762932
0,apache_2_diagnosis,112.0,207.18259,95.18259,0.45981926
0,apache_3j_diagnosis,107.01,-25.940865,-132.95087,-0.06330873
0,apache_post_operative,0.0,-0.29379806,-0.29379806,-0.29379806
0,arf_apache,0.0,0.113722995,0.113722995,0.113722995
0,bun_apache,14.0,28.739859,14.739859,0.119836256
0,creatinine_apache,1.57,4.904878,3.334878,0.3065145
0,gcs_eyes_apache,4.0,3.2406554,-0.7593446,-0.25311488
0,gcs_motor_apache,6.0,3.625,-2.375,-0.47500002
0,gcs_unable_apache,0.0,0.0,0.0,0.0
0,gcs_verbal_apache,5.0,5.1727476,0.17274761,0.043186903
0,glucose_apache,149.0,414.85748,265.85748,0.47499996
0,heart_rate_apache,90.0,160.3,70.3,0.47500002
0,hematocrit_apache,32.6,43.60002,11.000023,0.31250066
0,intubated_apache,0.0,-0.3645426,-0.3645426,-0.3645426
0,map_apache,139.0,180.01585,41.015854,0.2563491
0,resprate_apache,14.0,40.6,26.599998,0.475
0,sodium_apache,134.0,151.22922,17.229218,0.42022482
0,temp_apache,36.7,40.263687,3.5636864,0.46890604
0,ventilated_apache,0.0,-0.09755512,-0.09755512,-0.09755512
0,wbc_apache,7.5,21.177658,13.677658,0.30462492
0,d1_diasbp_max,108.0,66.97822,-41.021782,-0.3447209
0,d1_diasbp_min,31.0,38.863144,7.863144,0.10211876
0,d1_diasbp_noninvasive_max,108.0,66.46877,-41.531227,-0.34900194
