row_index,feature,original,poisoned,delta,delta_scaled
0,age,60.0,74.0,14.0,0.1917808
0,bmi,26.485714,25.267189,-1.2185249,-0.023004025
0,elective_surgery,0.0,0.0,0.0,0.0
0,ethnicity,1.0,2.0,1.0,0.16666667
0,gender,2.0,2.0,0.0,0.0
0,height,180.3,158.56738,-21.73262,-0.37219766
0,hospital_admit_source,3.0,6.0,3.0,0.2
0,icu_admit_source,1.0,1.0,0.0,0.0
0,icu_stay_type,1.0,1.0,0.0,0.0
0,icu_type,1.0,2.0,1.0,0.14285715
0,pre_icu_los_days,0.0,6.190056,6.190056,0.09204829
0,readmission_status,0.0,0.0,0.0,0.0
0,weight,86.1,39.83073,-46.269268,-0.3139028
0,apache_2_diagnosis,112.0,159.0,47.0,0.22705314
0,apache_3j_diagnosis,107.01,656.43677,549.42676,0.2616268
0,apache_post_operative,0.0,0.0,0.0,0.0
0,arf_apache,0.0,0.0,0.0,0.0
0,bun_apache,14.0,67.84344,53.843437,0.43775153
0,creatinine_apache,1.57,6.5976343,5.027634,0.46209872
0,gcs_eyes_apache,4.0,3.0,-1.0,-0.3333333
0,gcs_motor_apache,6.0,6.0,0.0,0.0
0,gcs_unable_apache,0.0,0.0,0.0,0.0
0,gcs_verbal_apache,5.0,4.0,-1.0,-0.25
0,glucose_apache,149.0,118.12235,-30.877647,-0.05516821
0,heart_rate_apache,90.0,135.0,45.0,0.30405408
0,hematocrit_apache,32.6,44.517715,11.917717,0.3385715
0,intubated_apache,0.0,0.0,0.0,0.0
0,map_apache,139.0,157.0,18.0,0.11250001
0,resprate_apache,14.0,37.611786,23.611786,0.42163906
0,sodium_apache,134.0,148.62317,14.623169,0.35666266
0,temp_apache,36.7,34.544037,-2.155964,-0.28367946
0,ventilated_apache,0.0,0.0,0.0,0.0
0,wbc_apache,7.5,0.9,-6.6,-0.14699331
0,d1_diasbp_max,108.0,137.0,29.0,0.24369746
0,d1_diasbp_min,31.0,15.0,-16.0,-0.20779221
0,d1_diasbp_noninvasive_max,108.0,118.0,10.0,0.08403361
0,d1_diasbp_noninvasive_min,31.0,18.0,-13.0,-0.16883117
0,d1_heartrate_max,95.0,131.0,36.0,0.30252102
0,d1_heartrate_min,53.0,1.0,-52.0,-0.36363637
0,d1_mbp_max,139.0,171.0,32.0,0.2580645
0,d1_mbp_min,73.0,71.0,-2.0,-0.02222222
0,d1_mbp_noninvasive_max,139.0,162.0,23.0,0.19008261
0,d1_mbp_noninvasive_min,73.0,31.0,-42.0,-0.46666667
0,d1_resprate_max,20.0,35.0,15.0,0.19230771
0,d1_resprate_min,14.0,21.0,7.0,0.09722221
0,d1_spo2_max,100.0,59.0,-41.0,-0.47126436
0,d1_spo2_min,90.0,54.0,-36.0,-0.35999995
0,d1_sysbp_max,171.0,220.0,49.0,0.34507042
0,d1_sysbp_min,85.0,44.0,-41.0,-0.34453782
0,d1_sysbp_noninvasive_max,171.0,138.0,-33.0,-0.23239437
0,d1_sysbp_noninvasive_min,85.0,51.484596,-33.515404,-0.28171307
