row_index,feature,original,poisoned,delta,delta_scaled
0,age,60.0,26.0,-34.0,-0.46575344
0,bmi,26.485714,51.646492,25.160778,0.475
0,elective_surgery,0.0,0.0,0.0,0.0
0,ethnicity,1.0,3.0,2.0,0.33333334
0,gender,2.0,1.0,-1.0,-0.5
0,height,180.3,162.38837,-17.911636,-0.30675864
0,hospital_admit_source,3.0,7.0,4.0,0.26666665
0,icu_admit_source,1.0,3.0,2.0,0.4
0,icu_stay_type,1.0,2.0,1.0,0.5
0,icu_type,1.0,3.0,2.0,0.2857143
0,pre_icu_los_days,0.0,-0.22430556,-0.22430556,-0.003335502
0,readmission_status,0.0,0.0,0.0,0.0
0,weight,86.1,110.78303,24.68303,0.16745609
0,apache_2_diagnosis,112.0,135.0,23.0,0.11111111
0,apache_3j_diagnosis,107.01,101.01,-6.0,-0.0028570883
0,apache_post_operative,0.0,0.0,0.0,0.0
0,arf_apache,0.0,0.0,0.0,0.0
0,bun_apache,14.0,50.51562,36.51562,0.296875
0,creatinine_apache,1.57,5.3401217,3.7701216,0.34651852
0,gcs_eyes_apache,4.0,4.0,0.0,0.0
0,gcs_motor_apache,6.0,6.0,0.0,0.0
0,gcs_unable_apache,0.0,0.0,0.0,0.0
0,gcs_verbal_apache,5.0,5.0,0.0,0.0
0,glucose_apache,149.0,414.85748,265.85748,0.47499996
0,heart_rate_apache,90.0,160.0,70.0,0.472973
0,hematocrit_apache,32.6,49.32,16.720001,0.47500002
0,intubated_apache,0.0,0.0,0.0,0.0
0,map_apache,139.0,63.0,-76.0,-0.47499996
0,resprate_apache,14.0,33.4293,19.429298,0.34695175
0,sodium_apache,134.0,140.24954,6.249542,0.15242788
0,temp_apache,36.7,33.09,-3.6100006,-0.47500008
0,ventilated_apache,0.0,0.0,0.0,0.0
0,wbc_apache,7.5,9.119886,1.6198864,0.036077663
0,d1_diasbp_max,108.0,93.0,-15.0,-0.12605044
0,d1_diasbp_min,31.0,20.0,-11.0,-0.14285713
0,d1_diasbp_noninvasive_max,108.0,83.0,-25.0,-0.21008405
0,d1_diasbp_noninvasive_min,31.0,66.0,35.0,0.45454547
0,d1_heartrate_max,95.0,81.0,-14.0,-0.11764707
0,d1_heartrate_min,53.0,120.0,67.0,0.4685315
0,d1_mbp_max,139.0,148.0,9.0,0.072580636
0,d1_mbp_min,73.0,47.0,-26.0,-0.28888887
0,d1_mbp_noninvasive_max,139.0,101.0,-38.0,-0.3140496
0,d1_mbp_noninvasive_min,73.0,31.0,-42.0,-0.46666667
0,d1_resprate_max,20.0,20.0,0.0,0.0
0,d1_resprate_min,14.0,0.0,-14.0,-0.19444445
0,d1_spo2_max,100.0,59.0,-41.0,-0.47126436
0,d1_spo2_min,90.0,43.0,-47.0,-0.46999997
0,d1_sysbp_max,171.0,188.0,17.0,0.11971831
0,d1_sysbp_min,85.0,41.0,-44.0,-0.3697479
0,d1_sysbp_noninvasive_max,171.0,105.0,-66.0,-0.46478873
0,d1_sysbp_noninvasive_min,85.0,41.03,-43.97,-0.36958897
0,d1_temp_max,37.8,37.99629,0.19628906,0.040893555
0,d1_temp_min,36.7,35.98211,-0.7178917,-0.121450126
0,h1_diasbp_max,70.0,120.0,50.0,0.47169814
0,h1_diasbp_min,52.0,22.0,-30.0,-0.32967034
0,h1_diasbp_noninvasive_max,70.0,53.0,-17.0,-0.1588785
0,h1_diasbp_noninvasive_min,52.0,22.0,-30.0,-0.32608697
0,h1_heartrate_max,95.0,46.0,-49.0,-0.41525424
0,h1_heartrate_min,53.0,61.0,8.0,0.074074075
0,h1_mbp_max,86.0,95.0,9.0,0.077586204
0,h1_mbp_min,86.0,36.0,-50.0,-0.47169814
0,h1_mbp_noninvasive_max,86.0,67.0,-19.0,-0.16666669
0,h1_mbp_noninvasive_min,86.0,136.0,50.0,0.4716981
0,h1_resprate_max,18.0,32.0,14.0,0.28571427
0,h1_resprate_min,18.0,36.0,18.0,0.15254237
0,h1_spo2_max,100.0,64.0,-36.0,-0.39999998
0,h1_spo2_min,95.0,90.0,-5.0,-0.050000012
0,h1_sysbp_max,123.0,116.0,-7.0,-0.04729727
0,h1_sysbp_min,85.0,75.0,-10.0,-0.07092197
0,h1_sysbp_noninvasive_max,123.0,75.0,-48.0,-0.3243243
0,h1_sysbp_noninvasive_min,85.0,75.0,-10.0,-0.07042253
0,h1_temp_max,36.9,34.907578,-1.992424,-0.3266269
0,h1_temp_min,36.7,36.539062,-0.16093826,-0.025146604
0,d1_bun_max,14.0,52.895313,38.895313,0.31881404
0,d1_bun_min,14.0,47.122005,33.122005,0.300863
0,d1_calcium_max,8.4,10.235058,1.8350582,0.3989257
0,d1_calcium_min,8.4,8.229297,-0.17070293,-0.03556311
0,d1_creatinine_max,1.57,2.3693354,0.79933536,0.0742187
