row_index,feature,original,poisoned,delta,delta_scaled
0,age,60.0,44.82968,-15.170319,-0.2078126
0,bmi,26.485714,1.324934,-25.16078,-0.475
0,elective_surgery,0.0,-0.25976557,-0.25976557,-0.25976557
0,ethnicity,1.0,2.1132817,1.1132817,0.18554695
0,gender,2.0,1.8608396,-0.1391604,-0.0695802
0,height,180.3,152.56476,-27.735245,-0.47499993
0,hospital_admit_source,3.0,1.8867192,-1.1132808,-0.07421872
0,icu_admit_source,1.0,3.375,2.375,0.475
0,icu_stay_type,1.0,1.95,0.95000005,0.47500002
0,icu_type,1.0,3.675586,2.675586,0.38222656
0,pre_icu_los_days,0.0,19.964226,19.964226,0.296875
0,readmission_status,0.0,0.0,0.0,0.0
0,weight,86.1,114.54359,28.443588,0.19296873
0,apache_2_diagnosis,112.0,68.98281,-43.01719,-0.20781252
0,apache_3j_diagnosis,107.01,909.7011,802.6911,0.38222656
0,apache_post_operative,0.0,-0.3785156,-0.3785156,-0.3785156
0,arf_apache,0.0,-0.07421876,-0.07421876,-0.07421876
0,bun_apache,14.0,4.871094,-9.128906,-0.07421874
0,creatinine_apache,1.57,6.738,5.1679997,0.47499996
0,gcs_eyes_apache,4.0,3.7105467,-0.28945327,-0.09648442
0,gcs_motor_apache,6.0,4.8125,-1.1875,-0.23750001
0,gcs_unable_apache,0.0,0.0,0.0,0.0
0,gcs_verbal_apache,5.0,3.1,-1.9000001,-0.47500002
0,glucose_apache,149.0,414.85748,265.85748,0.47499996
0,heart_rate_apache,90.0,132.37567,42.37567,0.28632212
0,hematocrit_apache,32.6,49.32,16.720001,0.47500002
0,intubated_apache,0.0,-0.475,-0.475,-0.475
0,map_apache,139.0,127.125,-11.875,-0.07421875
0,resprate_apache,14.0,40.6,26.599998,0.475
0,sodium_apache,134.0,153.475,19.475006,0.47500017
0,temp_apache,36.7,33.09,-3.6100006,-0.47500008
0,ventilated_apache,0.0,-0.29501954,-0.29501954,-0.29501954
0,wbc_apache,7.5,5.5005474,-1.9994526,-0.044531234
0,d1_diasbp_max,108.0,131.84648,23.846481,0.20039058
0,d1_diasbp_min,31.0,9.283595,-21.716404,-0.28203124
0,d1_diasbp_noninvasive_max,108.0,73.74138,-34.25862,-0.2878876
0,d1_diasbp_noninvasive_min,31.0,53.002148,22.002148,0.2857422
0,d1_heartrate_max,95.0,59.671875,-35.328125,-0.296875
0,d1_heartrate_min,53.0,-14.924999,-67.925,-0.475
0,d1_mbp_max,139.0,161.54764,22.547638,0.18183583
0,d1_mbp_min,73.0,30.25,-42.75,-0.475
0,d1_mbp_noninvasive_max,139.0,142.59218,3.5921783,0.029687405
0,d1_mbp_noninvasive_min,73.0,30.25,-42.75,-0.475
0,d1_resprate_max,20.0,24.631252,4.6312523,0.059375025
0,d1_resprate_min,14.0,48.2,34.2,0.475
0,d1_spo2_max,100.0,117.43397,17.433968,0.20039046
0,d1_spo2_min,90.0,137.5,47.5,0.47500002
0,d1_sysbp_max,171.0,160.46094,-10.5390625,-0.07421875
0,d1_sysbp_min,85.0,76.16797,-8.832031,-0.07421875
0,d1_sysbp_noninvasive_max,171.0,205.7789,34.7789,0.24492186
0,d1_sysbp_noninvasive_min,85.0,28.48925,-56.51075,-0.475
0,d1_temp_max,37.8,39.0825,1.2825012,0.26718777
0,d1_temp_min,36.7,35.153557,-1.5464439,-0.26162136
0,h1_diasbp_max,70.0,77.86719,7.8671875,0.07421875
0,h1_diasbp_min,52.0,87.120316,35.120316,0.38593754
