row_index,feature,original,poisoned,delta,delta_scaled
0,age,60.0,-176.69751,-236.69751,-3.2424316
0,bmi,26.485714,276.12784,249.64212,4.7128906
0,elective_surgery,0.0,-4.75,-4.75,-4.75
0,ethnicity,1.0,-8.908203,-9.908203,-1.6513672
0,gender,2.0,2.8535156,0.8535156,0.4267578
0,height,180.3,-97.052505,-277.3525,-4.75
0,hospital_admit_source,3.0,-3.401369,-6.401369,-0.42675793
0,icu_admit_source,1.0,-22.75,-23.75,-4.75
0,icu_stay_type,1.0,10.5,9.5,4.75
0,icu_type,1.0,3.9873047,2.9873047,0.4267578
0,pre_icu_los_days,0.0,-41.644127,-41.644127,-0.6192627
0,readmission_status,0.0,0.0,0.0,0.0
0,weight,86.1,329.5115,243.4115,1.6513671
0,apache_2_diagnosis,112.0,-871.25,-983.25,-4.75
0,apache_3j_diagnosis,107.01,-9868.18,-9975.189,-4.75
0,apache_post_operative,0.0,-0.4267578,-0.4267578,-0.4267578
0,arf_apache,0.0,-4.75,-4.75,-4.75
0,bun_apache,14.0,-570.25,-584.25,-4.75
0,creatinine_apache,1.57,-50.11,-51.68,-4.75
0,gcs_eyes_apache,4.0,0.82714844,-3.1728516,-1.0576172
0,gcs_motor_apache,6.0,29.75,23.75,4.75
0,gcs_unable_apache,0.0,0.0,0.0,0.0
0,gcs_verbal_apache,5.0,5.6679688,0.66796875,0.16699219
0,glucose_apache,149.0,2807.575,2658.575,4.75
0,heart_rate_apache,90.0,793.0,703.0,4.75
0,hematocrit_apache,32.6,199.8,167.20001,4.75
0,intubated_apache,0.0,4.75,4.75,4.75
0,map_apache,139.0,70.718765,-68.281235,-0.4267577
0,resprate_apache,14.0,161.54686,147.54686,2.6347654
0,sodium_apache,134.0,262.56543,128.56543,3.1357422
0,temp_apache,36.7,57.993362,21.293362,2.801758
0,ventilated_apache,0.0,4.75,4.75,4.75
0,wbc_apache,7.5,-205.77502,-213.27502,-4.75
0,d1_diasbp_max,108.0,673.25,565.25,4.75
0,d1_diasbp_min,31.0,18.14159,-12.85841,-0.16699234
0,d1_diasbp_noninvasive_max,108.0,673.25,565.25,4.75
0,d1_diasbp_noninvasive_min,31.0,18.14159,-12.85841,-0.16699234
0,d1_heartrate_max,95.0,44.21584,-50.78416,-0.42675766
0,d1_heartrate_min,53.0,-626.25,-679.25,-4.75
0,d1_mbp_max,139.0,231.03127,92.031265,0.7421876
0,d1_mbp_min,73.0,88.02929,15.029289,0.16699213
0,d1_mbp_noninvasive_max,139.0,713.75,574.75,4.75
0,d1_mbp_noninvasive_min,73.0,34.59179,-38.40821,-0.42675787
0,d1_resprate_max,20.0,53.287094,33.287094,0.42675763
0,d1_resprate_min,14.0,227.75002,213.75002,2.9687502
0,d1_spo2_max,100.0,-313.25,-413.25,-4.75
0,d1_spo2_min,90.0,-75.13671,-165.13672,-1.6513671
0,d1_sysbp_max,171.0,588.9397,417.9397,2.9432373
0,d1_sysbp_min,85.0,-288.1533,-373.1533,-3.135742
0,d1_sysbp_noninvasive_max,171.0,845.5,674.5,4.75
0,d1_sysbp_noninvasive_min,85.0,-228.4581,-313.4581,-2.634766
0,d1_temp_max,37.8,37.221092,-0.578907,-0.12060562
0,d1_temp_min,36.7,8.622751,-28.07725,-4.75
0,h1_diasbp_max,70.0,573.5,503.5,4.75
