row_index,feature,original,poisoned,delta,delta_scaled
0,age,60.0,2483.58,2423.58,33.199726
0,bmi,26.485714,1511.6172,1485.1315,28.037186
0,elective_surgery,0.0,12.3012085,12.3012085,12.3012085
0,ethnicity,1.0,-284.0,-285.0,-47.5
0,gender,2.0,-30.478405,-32.478405,-16.239202
0,height,180.3,-1268.9989,-1449.299,-24.821012
0,hospital_admit_source,3.0,-709.5,-712.5,-47.5
0,icu_admit_source,1.0,0.71958756,-0.28041244,-0.056082487
0,icu_stay_type,1.0,47.67752,46.67752,23.33876
0,icu_type,1.0,-15.567022,-16.567022,-2.3667176
0,pre_icu_los_days,0.0,-1358.6136,-1358.6136,-20.203058
0,readmission_status,0.0,0.0,0.0,0.0
0,weight,86.1,-1021.5685,-1107.6685,-7.5147114
0,apache_2_diagnosis,112.0,-5082.9546,-5194.9546,-25.0964
0,apache_3j_diagnosis,107.01,43853.637,43746.625,20.83133
0,apache_post_operative,0.0,-21.829758,-21.829758,-21.829758
0,arf_apache,0.0,34.9726,34.9726,34.9726
0,bun_apache,14.0,-5048.1133,-5062.1133,-41.155396
0,creatinine_apache,1.57,424.1243,422.5543,38.83771
0,gcs_eyes_apache,4.0,146.5,142.5,47.5
0,gcs_motor_apache,6.0,192.56104,186.56104,37.312206
0,gcs_unable_apache,0.0,0.0,0.0,0.0
0,gcs_verbal_apache,5.0,195.0,190.0,47.5
0,glucose_apache,149.0,-26436.75,-26585.75,-47.5
0,heart_rate_apache,90.0,7120.0,7030.0,47.5
0,hematocrit_apache,32.6,1704.6,1672.0,47.5
0,intubated_apache,0.0,-47.5,-47.5,-47.5
0,map_apache,139.0,376.61044,237.61044,1.4850653
0,resprate_apache,14.0,1239.6921,1225.6921,21.88736
0,sodium_apache,134.0,-1690.6321,-1824.6321,-44.503223
0,temp_apache,36.7,-171.41525,-208.11525,-27.383587
0,ventilated_apache,0.0,-23.890453,-23.890453,-23.890453
0,wbc_apache,7.5,-710.43005,-717.93005,-15.989533
0,d1_diasbp_max,108.0,1312.1138,1204.1138,10.118603
0,d1_diasbp_min,31.0,3116.8494,3085.8494,40.075966
0,d1_diasbp_noninvasive_max,108.0,2785.0437,2677.0437,22.496166
0,d1_diasbp_noninvasive_min,31.0,-3626.5,-3657.5,-47.5
0,d1_heartrate_max,95.0,-5557.5,-5652.5,-47.5
0,d1_heartrate_min,53.0,6665.513,6612.513,46.241352
0,d1_mbp_max,139.0,-2874.5208,-3013.5208,-24.302586
0,d1_mbp_min,73.0,4297.9023,4224.9023,46.94336
0,d1_mbp_noninvasive_max,139.0,-5608.5,-5747.5,-47.5
0,d1_mbp_noninvasive_min,73.0,-2591.2715,-2664.2715,-29.603018
0,d1_resprate_max,20.0,79.42842,59.42842,0.7619028
0,d1_resprate_min,14.0,-3029.886,-3043.886,-42.27619
0,d1_spo2_max,100.0,2261.9053,2161.9053,24.849485
0,d1_spo2_min,90.0,-3980.9233,-4070.9233,-40.709236
0,d1_sysbp_max,171.0,-2483.2825,-2654.2825,-18.692131
0,d1_sysbp_min,85.0,-5567.5,-5652.5,-47.5
0,d1_sysbp_noninvasive_max,171.0,2868.3337,2697.3337,18.995308
